,current_location,current_work,previous_work,latest_Education,major,search_school,coordinate,state,county,city,fips
1976,,"Program Coordinator (PI: Theodore P. Beauchaine, PhD) at University of Notre Dame","Intern (PI: Tracy A. Dennis-Tiwary, PhD) at Wise Therapeutics",University of Pennsylvania,Professional Counseling,"University of California, Riverside",,,,,
1977,"Irvine, California, United States",Development Engineer I at InBrace,Design Supervisor at InBrace,"University of California, Riverside",Bioengineering,"University of California, Riverside","(33.6856969, -117.8259819)",California,Orange,Irvine,6059
1978,Dallas-Fort Worth ,Commercial Sales Manager at Expel,Inside Sales Manager at Splunk,1990–1994,Business Administration,"University of California, Riverside","(32.7453157, -97.3278313)",Texas,Tarrant,Fort Worth,48439
1979,Los Angeles  ,Talent Sourcer at Signify Technology,"Account Manager at Impact Networking, LLC",University of San Francisco,Sports Management,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1980,,Client Onboarding Specialist at Houzz,"Recreation Governing Board Member at University of California, Riverside","University of California, Riverside","Business Administration and Management, General","University of California, Riverside",,,,,
1981,"Los Angeles, California, United States",Senior Technical Recruiter at Source Coders,Technical Recruiter at Source Coders,UC Riverside,Psychology,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1982,,Program Manager at Concourse Federal Group,Project Engineer I at Pankow Builders,"University of California, Berkeley",Civil Engineering - Engineering Project Management,"University of California, Riverside",,,,,
1983,,PMO Analyst at SurePrep LLC,Project Management Intern at Minority Programmers Association,"University of California, Riverside",Computer Science,"University of California, Riverside",,,,,
1984,United States,Area Business Director at Marinus Pharma,Harvard at Harvard Business Analytics Program,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside","(39.7837304, -100.445882)",,,,
1985,"Irvine, California, United States","Partner at Palmieri, Tyler et al",,"University of California, Hastings College of the Law",History,"University of California, Riverside","(33.6856969, -117.8259819)",California,Orange,Irvine,6059
1986,San Francisco Bay ,,Solutions Specialist at Ubisoft,"University of California, Riverside","Business Administration, Management and Operations","University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
1987,"Los Angeles, California, United States",Advisory Board Member at Apothēka Systems Inc.,Founder at OptimalPortfolio.org,"University of California, Los Angeles","Finance, Valuation, Strategy, Marketing","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1988,"Boca Raton, Florida, United States",Laboratory Manager  at Boca Raton Regional Hospital,Hematology Lab Manager at DaVita Kidney Care,Florida Atlantic University,Clinical Laboratory Science/Medical Technology/Technologist,"University of California, Riverside","(26.3586885, -80.0830984)",Florida,Palm Beach,Boca Raton,12099
1989,"Las Vegas, Nevada, United States",Orthopedic Surgeon at Nevada Orthopedic & Spine Center,Medical Corps Officer at US Army,David Geffen School of Medicine at UCLA,Orthopedic Oncology Fellowship,"University of California, Riverside","(36.1672559, -115.148516)",Nevada,Clark,Las Vegas,32003
1990,Los Angeles  ,Interim Deputy Chief Operating Officer at Metrolink,"Senior Manager, Train Control Onboard Systems at Metrolink",University of Southern California,Mechanical Engineering,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1991, Tokyo ,"Manager, Client Services at AlphaSights","Associate, Client Service Team at AlphaSights","University of California, Riverside",Marketing,"University of California, Riverside","(35.6828387, 139.7594549)",,,東京都,
1992,San Diego  ,"Lead Recruitment, Admissions, and Communications  at King Abdullah University of Science and Technology",Associate Director of International Student Admissions at Hollins University,2014–2016,International Education,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,6073
1993,Los Angeles  ,Sr. Financial Analyst at Drybar,"Financial Analyst, FP&A at GES - Global Experience Specialists","University of California, Riverside",Business Administration – Finance,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1994, Chicago ,"Anesthesiologist at NorthStar Anesthesia, P.A.",Anesthesiology Resident at Rush University Medical Center,University of Illinois Urbana-Champaign,Biology,"University of California, Riverside","(41.8755616, -87.6244212)",Illinois,Cook,Chicago,17031
1995,,People Operations Generalist at MOLOCO,Recruiting Ops & People Programs at MOLOCO,"University of California, Riverside",Sociology/Business Admin (Human Resources Management),"University of California, Riverside",,,,,
1996,"Pasadena, California, United States",Sales Associate at POURED Staffing Solutions,Referee at U.S. Soccer Federation,"University of California, Riverside",Business/Managerial Economics,"University of California, Riverside","(34.1476452, -118.1444779)",California,Los Angeles,Pasadena,6037
1997,San Francisco Bay ,Sales Engineer at Smartsheet,Business Development Rep at SetSail,"University of California, Riverside",Business Administration: Information Systems,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
1998,Los Angeles  ,Chief Technology Officer at Enervee,Director of Program Management at Linq3 Technologies,"University of California, Riverside",Business Economics,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1999,San Francisco Bay ,"CEO at Boddy and Mind Business Consulting, LLC",Human Resources Manager at Sequoia Living,La Sierra University,Business Administration; Human Resources Management,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
2000," Fayetteville, AR ",Principal Solutions Architect at Veracode,"Manager, Solutions Architecture, SE, & Security Advisor at RiskRecon, a MasterCard company at RiskRecon","University of California, Riverside",English,"University of California, Riverside","(36.0625843, -94.1574328)",Arkansas,Washington,Fayetteville,5143
2001,"Chicago, Illinois, United States",Chief Executive Officer at Early Autism Services,Chief Operations Officer at Comprehensive Early Autism Services,Florida Institute of Technology,Applied Behavior Analysis,"University of California, Riverside","(41.8755616, -87.6244212)",Illinois,Cook,Chicago,17031
2002,"Los Angeles, California, United States",Director Of Engineering at Narvar,CTO & Co-Founder at Behold,"University of California, Riverside",Sociology,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2003,Los Angeles  ,Senior E-commerce Buyer at Hurley,Omnichannel Buyer at Diesel,"University of California, Riverside",,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2004,South Korea,"Chief Technology Officer / R&D Director at Rexellbio Co., Ltd",President / Director at Pharmaceutical Technology Foundation / LORDS,"University of California, Riverside",Molecular Genetics,"University of California, Riverside","(36.638392, 127.6961188)",,,,
2005,"San Clemente, California, United States",Chief Executive Officer at Sunset West Outdoor Furnishings,Owner at Sunset West Outdoor,2020–2021,Business Administration,"University of California, Riverside","(33.4270275, -117.6124179)",California,Orange,San Clemente,6059
2006,San Francisco Bay ,Chief Marketing Officer at Cequence Security,Chief Marketing Officer at Feedzai,"University of California, Berkeley",Marketing,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
2007,"Pomona, California, United States","President & Chief Executive Officer at Innex, Inc.",Credit Manager at Wells Fargo Financial,1998–2002,Business Administration,"University of California, Riverside","(34.0553813, -117.7517496)",California,Los Angeles,Pomona,6037
2008,Denver  ,"Director, Software Engineering at AppColl, Inc.",Director of Web Development at HealthGrades,"University of California, Riverside",Computer Science,"University of California, Riverside","(39.7392364, -104.9848623)",Colorado,,Denver,8031
2009,"Edinburgh, Scotland, United Kingdom","Director, Global Data Science at Skyscanner",Head of Data Science and Matching at Grindr,"University of California, Riverside","Psychology, Statistics","University of California, Riverside","(55.9533456, -3.1883749)",Alba / Scotland,City of,Edinburgh,
2010,"Moreno Valley, California, United States",Director of Marketing at Moss Bros Auto Group,Board of Directors at California Riverside Ballet,1995–2000,Economics; Business,"University of California, Riverside","(33.937517, -117.2305944)",California,Riverside,Moreno Valley,6065
2011,"El Segundo, California, United States",Digital Marketing Manager at SmartAction,Marketing Specialist at SmartAction,"University of California, Riverside",Marketing,"University of California, Riverside","(33.917028, -118.4156337)",California,Los Angeles,,6037
2012,"Orange County, California, United States","Director, Professional Marketing at AbbVie","Director, Physician Training & Professional Education at JenaValve Technology, Inc.",Cornell University,High Performance Leadership Certificate,"University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
2013,"Oceanside, California, United States",President at Thomson Instrument Company,,"University of California, Riverside",Chemistry,"University of California, Riverside","(33.1958696, -117.3794834)",California,San Diego,Oceanside,6073
2014,Los Angeles  ,West Coast Operations Lead at Heal,Operations Coordinator at Heal,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2015,"Los Angeles County, California, United States",Engineering Manager at Beyond Limits,Senior Director of Software Development at Mathnasium - The Math Learning Center,California State University-Northridge,Computer Science,"University of California, Riverside","(34.3155072, -118.2096814)",California,Los Angeles,,6037
2016,United States,Portforlio Operations Director at AvalonBay Communities,General Manager at AvalonBay Communities,California State University-Northridge,"Communication, Journalism, and Related Programs","University of California, Riverside","(39.7837304, -100.445882)",,,,
2017,"Anaheim, California, United States",Chief People Officer at American Advisors Group,"Senior Vice President, Human Resources  at American Advisors Group",2002–2004,HR Certificate,"University of California, Riverside","(33.8347516, -117.911732)",California,Orange,Anaheim,6059
2018,"Riverside, California, United States",Procurement and Planning Manager at Taylor Farms,"Master Scheduler, Commercial Manager, at Index Fresh Inc",2002–2004,"Logistics, Materials, and Supply Chain Management","University of California, Riverside","(33.9459413, -117.41024442439222)",California,Riverside,Riverside,6065
2019,"Hessisch Oldendorf, Lower Saxony, Germany",Global Operations at Yuanda Robotics GmbH,Head of Global Industrial Engineering at Lenze,"International School of Management, Germany",General Management,"University of California, Riverside","(52.1698382, 9.2506531)",Niedersachsen,Landkreis,,
2020,Los Angeles  ,Head of Consumer and Digital Marketing at Revance,"Senior Director Of Marketing at Revance Therapeutics, Inc.",+ 1 more,Communication and Media Studies,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2021,United States,Director of People Operations at UserZoom,"Human Resources Director at Versity Investments, LLC","University of California, Riverside",Business Administration,"University of California, Riverside","(39.7837304, -100.445882)",,,,
2022,"São Paulo, São Paulo, Brazil",Trade Marketing Director at ViacomCBS,LABS & Planning Director at Viacom,Universidade de São Paulo,Philosophy (not finished),"University of California, Riverside","(-23.5506507, -46.6333824)",São Paulo,Região Metropolitana de São,São Paulo,
2023,United States,Media Director at DWA,Associate Media Director at Godfrey Dadich Partners,"University of California, Riverside","Business Administration and Management, Marketing","University of California, Riverside","(39.7837304, -100.445882)",,,,
2024,"San Diego County, California, United States",Owner/Founder at K2 Staffing,Managing Partner at Everest Recruiting,1997–1999,Health Services Administration,"University of California, Riverside","(32.9637838, -116.7706277)",California,San Diego,,6073
2025,"Orange, California, United States","Chief Financial Officer at Anchored Prints, Inc",Partner at Reilly Strategic Consulting,1974–1978,Finance,"University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
2026,"Menifee, California, United States","IT Director at Bourns, Inc.","IT Infrastructure and Technical Services at Bourns, Inc.",Keller Graduate School of Management of DeVry University,,"University of California, Riverside","(33.6864432, -117.1770437)",California,Riverside,,6065
2027,,"ADVISOR, MARKETING EVENT MANAGEMENT at Dell Technologies","DIRECTOR OF EVENTS at Illuminate Education, Inc.",Keller Graduate School of Management,Certificate in Human Resources Management,"University of California, Riverside",,,,,
2028,Los Angeles  ,"Head Of Finance at GoVyrl, Inc. (Carro)",Corporate Controller at Restaurant365,UCLA Anderson School of Management,Entrepreneurship/Entrepreneurial Studies,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2029,,Analytic Coordinator at Tinuiti,Client Operations Analyst  at Tinuiti,"University of California, Irvine - The Paul Merage School of Business",Statistics,"University of California, Riverside",,,,,
2030,"Scottsdale, Arizona, United States","Sr. Manager,  Cloud Solution Engineering at T-Mobile","National Sales Manager, WPaaS at Sprint",1994–1998,Business,"University of California, Riverside","(33.4942189, -111.9260184)",Arizona,Maricopa,Scottsdale,4013
2031,"San Clemente, California, United States","Information Technology Manager at ACES (Comprehensive Educational Services, Inc.)",IT Support Manager at V.I. Experts (MSP),"University of California, Riverside",Psychology,"University of California, Riverside","(33.4270275, -117.6124179)",California,Orange,San Clemente,6059
2032,"Los Angeles, California, United States",Director of Product Development at 505 Games,Senior Producer at 505 Games,"University of California, Riverside",Environmental Sciences,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2033,"Boulder, Colorado, United States",Chief Development at SomaLogic,Chief Development & Operations at SomaLogic,1995–2001,Molecular Biology,"University of California, Riverside","(40.0149856, -105.270545)",Colorado,Boulder,Boulder,8013
2034,San Francisco Bay ,Growth Marketing Manager - Paid Search at Lemonaid Health,Search Engine Marketing - Performance Analyst at Frequence,"University of California, Riverside",Economics/Administrative Studies,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
2035, Boston,"Executive Medical Director, Neurodegeneration Development Unit, Head of Movement Disorders at Biogen","Senior Medical Director, Neurodegeneration Development Unit, Head of Movement Disorders at Biogen","University of California, Los Angeles",Biomedical Sciences,"University of California, Riverside","(42.3602534, -71.0582912)",Massachusetts,Suffolk,Boston,25025
2036, Sacramento,"Senior Vice President, Practice Strategy at Shift Paradigm",Packaged Services Practice Lead  at LeadMD,Education (same page),,"University of California, Riverside","(38.5810606, -121.493895)",California,Sacramento,Sacramento,6067
2037,"Cholet, Pays de la Loire, France",Responsable marketing digital at Nature et Stratégie,Chef produits univers maison at COMPTOIR DES LYS,ISEG Lille,MANAGEMENT INTERNATIONAL,"University of California, Riverside","(47.0617293, -0.8801349)",Pays de la Loire,Maine-et-Loire,,
2038, Melbourne ,Strategy Director at SEEK,Non Executive Director at Digitary,Australian Graduate School of Management,MBA,"University of California, Riverside","(-37.8142176, 144.9631608)",Victoria,,Melbourne,
2039,"Carlsbad, California, United States",Manufacturing Engineer at MachineTek LLC,Quality Engineer at MachineTek LLC,"University of California, Riverside",Design and Manufacturing,"University of California, Riverside","(33.1580933, -117.3505966)",California,San Diego,Carlsbad,6073
2040,San Francisco Bay ,Director of Marketing (Head of Marketing) at Bellwether Coffee,Vice President Marketing at Stockwell,UC Berkeley,,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
2041,Los Angeles  ,IT Project Manager at Cathay Bank,Associate Project Manager at Citizens Business Bank,"University of California, Riverside",Comparative Literature and Linguistics,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2042,"Mission Viejo, California, United States",Head of Product at Krush Media Group,Co-Founder - CMO | Seen On Shark Tank at Bouquetbar.com,Education (same page),,"University of California, Riverside","(33.5965685, -117.659405)",California,Orange,Mission Viejo,6059
2043,"Trabuco Canyon, California, United States",2 yrs 10 mos,"Financial Advisor at Bancwest Investment Services, Inc.",1995–1997,Political Science,"University of California, Riverside","(33.6626232, -117.58938)",California,Orange,,6059
2044,"Kimberly, Idaho, United States",Regional Operations Manager at Senergy Petroleum,Senior Operations Manager at Pilot Thomas Logistics,"University of California, Riverside",Economics,"University of California, Riverside","(42.5338019, -114.3647561)",Idaho,Twin Falls,,16083
2045,San Francisco Bay ,Growth Marketing Manager at Owlet Baby Care,Paid Media Specialist at Dropbox,"University of California, Riverside",Marketing,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
2046,"Irvine, California, United States","Global Head of Human Resources, CSS at Johnson & Johnson","Head of Human Resources, Supply Chain U.S. & Puerto Rico at Johnson & Johnson",+ 1 more,,"University of California, Riverside","(33.6856969, -117.8259819)",California,Orange,Irvine,6059
2047,Los Angeles  ,"Project Manager, Ops Innovation at Jack in the Box",Digital Specialist at Qdoba Restaurant Corporation,"University of California, Riverside",Marketing,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2048,,Data Scientist at Oculus VR,Data Scientist at AIG,"University of California, Irvine - The Paul Merage School of Business",Business Analytics - Data Science Track,"University of California, Riverside",,,,,
2049,"San Diego, California, United States","Director of Product Marketing at Q'Apel Medical, Inc.","Senior Marketing Manager at Q'Apel Medical, Inc.","University of California, Riverside",Biomedical/Medical Engineering,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,6073
2050,San Francisco Bay ,Founder at Autonomy Insight,Co-founder at Evercurrent (Acquired),"University of California, Riverside",Computer Science,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
2051,"San Diego, California, United States",CEO at Go Green Agriculture,,"University of California, San Diego - Rady School of Management",Business Administration,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,6073
2052,Los Angeles  ,Marketing Manager at Unibail-Rodamco-Westfield,Marketing Associate at Unibail-Rodamco-Westfield,UC San Diego,"Visual Arts (Studio), Minor: Theatre (Costume Design)","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2053,"South San Francisco, California, United States","Senior Manager, Corporate Charitable Giving at Genentech","Senior Business Lead, Genentech Access To Care Foundation at Genentech",1992–1996,,"University of California, Riverside","(37.6535403, -122.4168664)",California,San Mateo,South San Francisco,6081
2054,"San Diego County, California, United States",Marketing Operations Manager at Crownpeak,Marketing Automation Manager at iMatrix,"University of California, Riverside",Studio Art,"University of California, Riverside","(32.9637838, -116.7706277)",California,San Diego,,6073
2055,Los Angeles  ,"Vice President Asset Management at Cabot Properties, Inc.",Assistant Vice President at AEW,2004–2008,Business Economics,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2056,Los Angeles  ,Digital Assistant at A3 Artists Agency,Social Media Coordinator at Mammoth Media,"University of California, Riverside",Psychology; Marketing Minor,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2057,"Upland, California, United States",Senior Product Development Manager at FAM Brands,Senior Product Development Manager at Pacific Sunwear,Brooks College,Fashion/Apparel Design,"University of California, Riverside","(34.09751, -117.6483876)",California,San Bernardino,,6071
2058,"Los Angeles, California, United States",Data Scientist II at The Trade Desk,Data Science & Analytics Lead at Engage3,"University of California, Riverside",Engineering (Data Science),"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2059,"Fremont, California, United States","Owner, Physical Therapist at Rapid Recovery Physical Therapy",Physical Therapist at On Lok,2008–2011,Physical Therapy,"University of California, Riverside","(37.5482697, -121.988571)",California,Alameda,Fremont,6001
2060,Los Angeles  ,Chief Marketing Officer at Food Haven Technologies Inc.,Digital Marketing Manager at Clearstone Capital Partners,"University of California, Riverside","Business Administration, Marketing","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2061,Los Angeles  ,Paid Search Analyst at RPA,Paid Search Coordinator at RPA,"University of California, Riverside",Business Administration,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2062,,Technical Recruiter at VIZIO,Technical Recruiter - DevOps at TEKsystems,"University of California, Riverside",Psychology,"University of California, Riverside",,,,,
2063,"Charlotte, North Carolina, United States","Manager, Data Analytics, Data Science, and Master Data at SPX FLOW, Inc.","Data Science Manager at SPX FLOW, Inc.","University of California, Riverside",Cognitive Psychology (Experimental),"University of California, Riverside","(35.2272086, -80.8430827)",North Carolina,Mecklenburg,Charlotte,37119
2064,"Murrieta, California, United States","Vice President of Business Development/Partner at Golden State RX Partners, LLC","CEO/Principal at California Independent Pharmacies, inc.","Midwestern University College of Pharmacy, Glendale","Biomedical Sciences, General","University of California, Riverside","(33.577752399999994, -117.18845420205307)",California,Riverside,Murrieta,6065
2065,"San Bruno, California, United States","Program Manager, Benefits  at Airbnb","Sr. Analyst, HR & Benefits  at Airbnb","University of California, Riverside",Human Resource Management,"University of California, Riverside","(37.6261715, -122.4332435)",California,San Mateo,,6081
2066,"Orange County, California, United States",Regional Recruiter at FPI Management,Recruiter at CNM LLP,UC Riverside,Sociology,"University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
2067,Los Angeles  ,"Medical Director at Ocular Therapeutix, Inc.","Optometrist at Redwood Sage, PC",Southern California College of Optometry,Doctor of Optometry,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2068,"Natick, Massachusetts, United States",Senior Scientist at Kula Bio,Scientist/Director Systems Integration at Biotech,"University of California, Riverside",Bioengineering,"University of California, Riverside","(42.2836393, -71.346996)",Massachusetts,Middlesex,,25017
2069,"Santa Clara, California, United States",Staff Cell Engineer at Tesla,Staff Cell Test Engineer at Tesla,2011–2016,Materials Science,"University of California, Riverside","(37.2333253, -121.6846349)",California,Santa Clara,,6085
2070,Los Angeles  ,"Account Executive, Enterprise Services & Solutions at Canon Solutions America",Medical Sales Representative at Lincare,"University of California, Riverside",Asian American Studies travel study program,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2071,"Riverside, California, United States",Senior Program/Project Manager at Southern California Edison (SCE),Program/Project Manager at Southern California Edison (SCE),2004–2008,Environmental Science: Social Science,"University of California, Riverside","(33.9459413, -117.41024442439222)",California,Riverside,Riverside,6065
2072,United States,"Global Senior Manager - Information Security, Compliance at HireRight",Manager of Product Solutions at AuditBoard,"University of California, Riverside",Accounting & Human Resource Management,"University of California, Riverside","(39.7837304, -100.445882)",,,,
2073,"Jalisco, Mexico",Director Resource Management and Vendor Management  at BORN Group,Global Resource Manager LATAM at NTT DATA Services,"University of California, Riverside",,"University of California, Riverside","(20.3333331, -103.6666671)",Jalisco,,,
2074,"Orange County, California, United States","Director, Production and Logistics at Mission Microwave Technologies",General Manager at Black Falcon US LTD,UC San Diego Extension,Business Intelligence Analysis,"University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
2075,Los Angeles  ,Assistant Superintendent at Santa Ana Unified School District,"Director, Maintnenance & Operations at RIVERSIDE UNIFIED SCHOOL DISTRICT",California State Polytechnic University-Pomona,Architecture,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2076,,"Senior Human Resources Generalist at NZXT, Inc.",Human Resources Generalist at Compex Legal Services,"University of California, Riverside","Business Administration, Marketing","University of California, Riverside",,,,,
2077,"Irvine, California, United States",Director of Supervision at Lincoln Financial Group,Director of Compliance Oversight at Lincoln Financial Group,University of Southern California - Marshall School of Business,Finance,"University of California, Riverside","(33.6856969, -117.8259819)",California,Orange,Irvine,6059
2078,"Boston, Massachusetts, United States",Board Of Directors at ISPOR—The Professional Society for Health Economics and Outcomes Research,Editor-in-Chief at ISPOR - Value & Outcomes Spotlight,University of Massachusetts Amherst,Economics,"University of California, Riverside","(42.3602534, -71.0582912)",Massachusetts,Suffolk,Boston,25025
2079,"Rancho Cucamonga, California, United States",Human Resources Generalist at BBSI,"Human Resources Specialist at West Coast Construction Services, Inc.","University of California, Riverside",Business Administration,"University of California, Riverside","(34.1279268, -117.56432205849399)",California,San Bernardino,Rancho Cucamonga,6071
2080,"San Francisco, California, United States",Sales Lead at Accredd.com,Account Executive at Optimizely,The Odin Project,Web Development,"University of California, Riverside","(37.7790262, -122.419906)",California,,San Francisco,6075
2081,"Hollister, California, United States",Marketing and Communications Manager at Hispanic Foundation of Silicon Valley,Community Coordinator at CMAP TV,"University of California, Riverside","Marketing/Marketing Management, General","University of California, Riverside","(36.8524545, -121.4016021)",California,San Benito,,6069
2082,,Chief Marketing Officer at International Collegiate Business Strategy Competition,IT Project Specialist at South Orange County Community College District,"University of California, Riverside","Business Administration, Marketing Concentration","University of California, Riverside",,,,,
2083,"Santa Ana, California, United States",Sales Manager at Better.com,Salesforce Consultant at Ripples Foundation,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside","(33.7494951, -117.8732213)",California,Orange,Santa Ana,6059
2084,,"Senior Associate, Paid Social at MediaCom",Enterprise Account Based Marketing Intern at RingCentral,Pepperdine Graziadio Business School,Business Analytics,"University of California, Riverside",,,,,
2085,"Los Angeles, California, United States",Regional Director - Enterprise at Info-Tech Research Group,Sr. Enterprise Sales Manager at Supermicro,"University of California, Riverside",Economics,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2086,Los Angeles  ,"Senior Program Manager, Workforce Training Initiatives at Jobs for the Future (JFF)","Program Manager, Work-Based Learning at Pasadena City College","University of California, Riverside",Psychology,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2087,"New York, New York, United States",Consultant at NRI (Nomura Research Institute),Business Development and Marketing Coordinator at McKool Smith,Baruch College,Marketing,"University of California, Riverside","(40.7127281, -74.0060152)",New York,,New York,36061
2088,New York City  ,"Chief Compliance Officer at Taiwan Cooperative Bank, New York Branch",,University of Connecticut School of Law,Business/Corporate/Securities/Antitrust Law,"University of California, Riverside","(40.7127281, -74.0060152)",New York,,New York,36061
2089,Los Angeles  ,"Creative Manager, Talent Relations & Awards at Netflix","Senior Manager, Program Marketing at HBO","University of California, Riverside",Business Administration,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2090,"Orange County, California, United States","Quality Control Manager at Spectrum Pharmaceuticals, Inc.","Supervisor, QC Laboratory at Par Pharmaceutical, an Endo International Company",University of Southern California,Chemistry,"University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
2091,Los Angeles  ,Senior Accountant at Monster Energy,Staff Accountant at Monster Energy,"University of California, Riverside","Economics/Administrative Studies, Concentration: Financial Accounting","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2092,,Software Engineer at Axon,Algorithm Engineer Intern at IQHi Inc.,"University of California, Riverside",Computer Science,"University of California, Riverside",,,,,
2093,"New York, New York, United States",Mid Market Account Executive at Carta,Mid Market Account Executive at Onna,"University of California, Riverside",Year Abroad through UCEAP,"University of California, Riverside","(40.7127281, -74.0060152)",New York,,New York,36061
2094,"San Francisco, California, United States",Financial Analyst at Raytheon Intelligence & Space,Student Research Assistant - Water Resource and Economic Policies at UCR School of Public Policy,"University of California, Riverside",Political Science and Government. Minor - Business Administration,"University of California, Riverside","(37.7790262, -122.419906)",California,,San Francisco,6075
2095,Hong Kong SAR,"Manager, Organizations & Talent Development at HK01",Resourcing & People Experience Manager at A.S. Watson Group,"University of California, Riverside",Computer Science,"University of California, Riverside","(22.350627, 114.1849161)",香港 Hong Kong,,,
2096,"San Diego, California, United States","District Sales Manager at Cynosure, LLC.","Area Sales Manager at Cynosure, LLC.","University of California, Riverside",Business Finance,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,6073
2097,"Gilbert, Arizona, United States",Sales Development Representative at Sourcegraph,Data Science Fellow at Springboard,Flockjay,Industrial Tech Sales,"University of California, Riverside","(33.3527632, -111.7890373)",Arizona,Maricopa,Gilbert,4013
2114,Los Angeles  ,"Creative Manager, Talent Relations & Awards at Netflix","Senior Manager, Program Marketing at HBO",1999–2003,Business Administration,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2148,Hong Kong SAR,"Director, Business Development, Group Partnership Distribution at AIA","Director, Partnership Distribution  at Prudential Hong Kong",2005–2005,Accounting,"University of California, Riverside","(22.350627, 114.1849161)",香港 Hong Kong,,,
2149,"Los Angeles, California, United States",Director of User Acquisition at Scopely,Senior User Acquisition Manager at Scopely,"University of California, Riverside",Business/Managerial Economics,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2150,"Los Angeles, California, United States",Product Manager at Planet DDS,"Director of Client Onboarding at Planet DDS, Inc.",University of Southern California - Marshall School of Business,Management,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2151,Dallas-Fort Worth ,"Director of Sales, Texas and Utah SLED at Lumen Technologies","Regional Sales Leader, FED & SLED  at Charter Communications","University of California, Riverside","Business Administration, Management and Operations","University of California, Riverside","(32.7453157, -97.3278313)",Texas,Tarrant,Fort Worth,48439
