,current_location,current_work,previous_work,latest_Education,major,search_school,current_company,previous_company,current_company_industry,previous_company_industry,current_NAICS,previous_NAICS,current_NAICS_title,current_avg_salary,previous_NAICS_title,latitude,longitude,state,county,city,fips
1950,"Schwenksville, Pennsylvania, United States",Executive Director Business Management and Enablement at Merck,"Director, Information Technology at Merck",1995–1998,Business,Pennsylvania State,Merck,Merck,,,,,,,,40.256213,-75.463788,Pennsylvania,Montgomery,,42091
1952,"Ashburn, Virginia, United States",Senior Director Professional Services at SuccessKPI,"Vice President, Information Technology & Data Analytics at Omega World Travel",1998–2003,Management and International Business,Pennsylvania State,SuccessKPI,Omega World Travel,,,,,,,,39.030019,-77.469646,Virginia,Loudoun,,51107
1953,"Baltimore, Maryland, United States","Sr Director, Marketing Analytics & Insights  at Adtalem Global Education","Executive Director, Operations & Analytics at Laureate Education",2006–2008,Marketing,Pennsylvania State,Adtalem Global Education,Laureate Education,,,,,,,,39.290882,-76.610759,Maryland,,Baltimore,24005
1954,"Pittsburgh, Pennsylvania, United States",General Manager - Architectural Products at Matthews International,Business Development Account Management - Builder / Multifamily  at LG Electronics North America,1992–1993,Economics,Pennsylvania State,Matthews International,LG Electronics North America,,,,,,,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
1955,"Philadelphia, Pennsylvania, United States",Managing Director at GattiHR,Vice President at Armstrong Franklin,Penn State University,Supply Chain Management,Pennsylvania State,GattiHR,Armstrong Franklin,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
1956,"Bellevue, Washington, United States",Strategic Sales Director at memoQ,Director Of Business Development & Client Engagement - North America  at adaQuest,Education (same page),Liberal Arts & Sciences,Pennsylvania State,memoQ,adaQuest,,,,,,,,47.614422,-122.192337,Washington,King,Bellevue,53033
1958,"Austin, Texas, United States","Associate Manager, Hub Expansion at Vroom",Logistics Manager at Made In,Penn State University,"Logistics, Materials, and Supply Chain Management",Pennsylvania State,Vroom,Made In,,,,,,,,30.271129,-97.7437,Texas,Travis,Austin,48453
1959,"State College, Pennsylvania, United States",Undergraduate Research Assistant at Penn State University,Education Program Assistant at WPSU Penn State,Penn State University,Education and Public Policy & Sociology,Pennsylvania State,Penn State University,WPSU Penn State,,,,,,,,40.79445,-77.861639,Pennsylvania,Centre,State College,42027
1960, Boston,Sr Principal Product Designer at Secureworks,Director of Platform UX at TRUEFORT,Penn State University,"BFA Fine Art, Minor Psychology",Pennsylvania State,Secureworks,TRUEFORT,,,,,,,,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025
1962, Philadelphia,"Team Lead, Sales Development  at Phenom",Sales Development Representative at Phenom People,Penn State University,,Pennsylvania State,Phenom,Phenom People,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
1963,"Philadelphia, Pennsylvania, United States",Director of Customer Success at Narvar,Sr. Director of Customer Success (Acquired by Quartile) at Sidecar,Penn State University,Marketing,Pennsylvania State,Narvar,Sidecar,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
1964,"Wilkes-Barre, Pennsylvania, United States",Owner at Elite Spine and Sports Physical Therapy,,Drexel University,Physical Therapy/Therapist,Pennsylvania State,Elite Spine and Sports Physical Therapy,,,,,,,,,41.246482,-75.881732,Pennsylvania,Luzerne,Wilkes-Barre,42079
1965,"Raleigh, North Carolina, United States","Director of Supply Chain, Virtual Factory-Resale at Schneider Electric",Resale Plant Manager at Schneider Electric,Penn State University,"Business Logistics, (Supply Chain)",Pennsylvania State,Schneider Electric,Schneider Electric,,,,,,,,35.780398,-78.639099,North Carolina,Wake,Raleigh,37183
1966,"Bellefonte, Pennsylvania, United States","Vice President of Engineering and Innovation at KCF Technologies, Inc.","Director of Innovation at KCF Technologies, Inc.",Penn State University,Electrical Engineering,Pennsylvania State,"KCF Technologies, Inc.","KCF Technologies, Inc.","511210 Utility software, computer, packaged",,51,,Information,73855.595,,40.913486,-77.773747,Pennsylvania,Centre,,42027
1967,"Cincinnati, Ohio, United States",Vice President at Xometry,Vice President Operations at iMFLUX,Xavier University - School of Business Administration,Plastics Engineering,Pennsylvania State,Xometry,iMFLUX,,,,,,,,39.101454,-84.51246,Ohio,Hamilton,Cincinnati,39061
1968,"Chandler, Arizona, United States",Director Of Business Operations at ON Semiconductor,Wafer Fab Manager at Everspin Technologies,Penn State University,Strategy & Leadership,Pennsylvania State,ON Semiconductor,Everspin Technologies,,,,,,,,33.30616,-111.84125,Arizona,Maricopa,Chandler,04013
1970,"Newport Beach, California, United States","Digital Marketing Manager, eCommerce at Western Digital",Marketing NCG Program at Western Digital,Penn State University,Marketing,Pennsylvania State,Western Digital,Western Digital,,,,,,,,33.617009,-117.92944,California,Orange,Newport Beach,06059
1972,"Flemington, New Jersey, United States","President, Legal Nurse Consultanting & Nurse Expert Witness Referral Services at Med League Support Services, Inc.",Procurement Manager at PTC Therapeutics,1997–2001,Biochemistry & Molecular Biology,Pennsylvania State,"Med League Support Services, Inc.",PTC Therapeutics,,,,,,,,40.513095,-74.859133,New Jersey,Hunterdon,,34019
1973,"Cambridge, Massachusetts, United States","Senior Machine Learning Scientist, Recommendations Team at Wayfair","Principal Research Scientist, Data Analytics at Mitsubishi Electric Research Laboratories",Penn State University,Electrical Engineering,Pennsylvania State,Wayfair,Mitsubishi Electric Research Laboratories,454110,,44-45,,Retail Trade,56013.266,,42.3751,-71.105616,Massachusetts,Middlesex,Cambridge,25017
1975,"New York, New York, United States","Senior Director, Client Insights, Social Media at Comscore, Inc.","Senior Director, Client Success & Partner Insights at Shareablee, Inc (acquired by Comscore, December 2021)",The Wharton School,"Marketing, Management",Pennsylvania State,"Comscore, Inc.","Shareablee, Inc (acquired by Comscore, December 2021)",,,,,,,,40.712728,-74.006015,New York,,New York,36061
1976,"New York, New York, United States","Senior Director, Global Head of Talent and Partnerships at mthree","Director of Sales, Employer Partnerships at Flatiron School",Penn State University,Biological and Evolutionary Psychology,Pennsylvania State,mthree,Flatiron School,,,,,,,,40.712728,-74.006015,New York,,New York,36061
1977,"Montrose, Pennsylvania, United States","Owner at Joe Hunt & Associates, PC","Vice President at Yerkes Associates, Inc.",1991–1995,Land Surveying and Environmental Engineering,Pennsylvania State,"Joe Hunt & Associates, PC","Yerkes Associates, Inc.",,,,,,,,41.833965,-75.877139,Pennsylvania,Susquehanna,,42115
1979,"Philadelphia, Pennsylvania, United States",Vice President - Asset Management at Alterra Property Group,Director - Asset Management at Alterra Property Group,Penn State University,Finance,Pennsylvania State,Alterra Property Group,Alterra Property Group,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
1980, Philadelphia,"Vice President, Client Partnerships at CommerceHub","Vice President, Client Development at 12 Digit Marketing",1992–1996,"Communications, Exercise and Sport Science",Pennsylvania State,CommerceHub,12 Digit Marketing,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
1981,"Mountain Top, Pennsylvania, United States",Maintenance Manager at Aspire Bakeries,Maintenance Manager at Cargill,Penn State University,,Pennsylvania State,Aspire Bakeries,Cargill,,,,,,,,41.122454,-75.963861,Pennsylvania,Luzerne,,42079
1982,"San Mateo, California, United States",Senior Engineer at Rivian,"Senior Engineer, Controls Software at Rivian",Penn State University,Aerospace Engineering,Pennsylvania State,Rivian,Rivian,,,,,,,,37.496904,-122.333057,California,San Mateo,,06081
1983,San Francisco Bay ,"Partner at LMA Law, LLP",Partner at Ropers Majeski,"The Catholic University of America, Columbus School of Law","Political Science, Business and Philosophy",Pennsylvania State,"LMA Law, LLP",Ropers Majeski,,,,,,,,37.714029,-122.307794,California,San Mateo,,06081
1984,Dallas-Fort Worth ,"Senior Product Marketing Manager, Competitive Intelligence at Zendesk",Senior Product Marketing Manager at Harver,2006–2010,Psychology (Business Option),Pennsylvania State,Zendesk,Harver,,,,,,,,32.745316,-97.327831,Texas,Tarrant,Fort Worth,48439
1985,"Austin, Texas, United States","Director, Data Engineering at Dell Technologies",Practice Manager at Canidium,Penn State University,Management Information Systems,Pennsylvania State,Dell Technologies,Canidium,,,,,,,,30.271129,-97.7437,Texas,Travis,Austin,48453
1986, Philadelphia,Enterprise Account Manager at Armis,"Regional Sales Manager at Okta, Inc.",Barry University,"Business Administration and Management, General",Pennsylvania State,Armis,"Okta, Inc.",,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
1987,"New York, New York, United States","Northeast Divisional Managing Director, Senior Director of Sales, HNW Segment Director at Wells Fargo Advisors","Wells Fargo Private Bank Regional Managing Director, Central Texas Market Head at Wells Fargo Private Bank",Penn State University,,Pennsylvania State,Wells Fargo Advisors,Wells Fargo Private Bank,,,,,,,,40.712728,-74.006015,New York,,New York,36061
1988, Philadelphia,Regional Director Organ Health-Northeast at Natera,Regional Account Director- Mid Atlantic at Aspira Women's Health,Penn State University,Recreation and Park Management,Pennsylvania State,Natera,Aspira Women's Health,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
1989,"Pittsburgh, Pennsylvania, United States","Chief Revenue Officer (CRO) at Voltus, Inc.","Senior Vice President of Sales at Voltus, Inc.",Penn State University,Geo-Environmental Engineering,Pennsylvania State,"Voltus, Inc.","Voltus, Inc.",,,,,,,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
1990,San Diego  ,"Founder, Chief Design Engineer at IDE Consulting","Design Manager, Mōtiv Operations at FCA Fiat Chrysler Automobiles | Motiv",Penn State University,Corporate Innovation | Entrepreneurship,Pennsylvania State,IDE Consulting,Chrysler Automobiles | Motiv,,,,,,,,32.71742,-117.162773,California,San Diego,San Diego,06073
1991,"Columbus, Ohio, United States",SVP eCommerce at EXPRESS,SVP Customer Experience & Operations at DSW,Penn State University,Finance & International Business,Pennsylvania State,EXPRESS,DSW,,,,,,,,39.96226,-83.000706,Ohio,Franklin,Columbus,39049
1992,"North Brunswick, New Jersey, United States","Director of IT Innovation at Burlington Stores, Inc.","Manager of Store Systems Group at Burlington Stores, Inc.",Pennsylvania State University- University Park,Computer Science,Pennsylvania State,"Burlington Stores, Inc.","Burlington Stores, Inc.",,,,,,,,40.445601,-74.489296,New Jersey,Middlesex,,34023
1993, Philadelphia,"EVP Operations  at RAS Logistics, Inc.",VP Operations Final Mile Services at Forward Air Corporation,Penn State University,,Pennsylvania State,"RAS Logistics, Inc.",Forward Air Corporation,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
1994,"Houston, Texas, United States",Senior Director of Low Carbon Technologies at NOV,Director of Additive Manufacturing at National Oilwell Varco,Penn State University,Materials Engineering,Pennsylvania State,NOV,National Oilwell Varco,,,,,,,,29.758938,-95.367697,Texas,Harris,Houston,48201
1995,"Chambersburg, Pennsylvania, United States",Director Of Supply Chain at The Manitowoc Company,Senior Manufacturing Planning Manager at Thermo Fisher Scientific,Penn State University,"Logistics, Materials, and Supply Chain Management",Pennsylvania State,The Manitowoc Company,Thermo Fisher Scientific,,,,,,,,39.94059,-77.659862,Pennsylvania,Franklin,,42055
1996, Pittsburgh ,Director Of Operations at De Nora,Director Of Operations at MECCO,Dallas Theological Seminary,Industrial Engineering,Pennsylvania State,De Nora,MECCO,,,,,,,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
1998,"Santa Clara, California, United States","Director, Engineering at Netskope","Sr Manager, Research at Palo Alto Networks",Penn State University,Computer Science,Pennsylvania State,Netskope,Palo Alto Networks,,,,,,,,37.233325,-121.684635,California,Santa Clara,,06085
1999,San Francisco Bay ,"Director, Data Engineering at Twitch",Head of Data at One of the largest Cryptocurrency trading platforms,Penn State University,Applied Statistics,Pennsylvania State,Twitch,One of the largest Cryptocurrency trading platforms,,,,,,,,37.714029,-122.307794,California,San Mateo,,06081
2000,"Los Angeles, California, United States","Senior Vice President of Product & UX at NBCUniversal at NBCUniversal Media, LLC","Vice President of Product at NBCUniversal at NBCUniversal Media, LLC",1994–1998,,Pennsylvania State,"NBCUniversal Media, LLC","NBCUniversal Media, LLC",,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
2002,New York City  ,"Director, Purchasing - Supplier Development & Project Management at Henkel","Senior Manager, Purchasing - Packaging at Henkel",Penn State University,Industrial Engineering; Minors in Economics and Six Sigma,Pennsylvania State,Henkel,Henkel,,,,,,,,40.712728,-74.006015,New York,,New York,36061
2003,San Francisco Bay ,"Senior Director, Strategy & Operations at Palo Alto Networks",Senior Manager/ Principal at West Monroe,The University of Chicago Booth School of Business,Electrical Engineering,Pennsylvania State,Palo Alto Networks,West Monroe,,541611 Strategic planning consulting services,,54,,,"Professional, Scientific, and Technical Services",37.714029,-122.307794,California,San Mateo,,06081
2004,"Philadelphia, Pennsylvania, United States","Director, Digital Marketing Strategy  at Comcast","Digital Marketing & Sales Strategy, US Wireless Carrier Partnership at Apple",Penn State University,Marketing,Pennsylvania State,Comcast,Apple,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
2005,"Pittsburgh, Pennsylvania, United States","Vice President of Operations at AllTek Staffing & Resource Group, Inc.",Director Of Business Development at AllTek Staffing & Resource Group,Penn State University,Business,Pennsylvania State,"AllTek Staffing & Resource Group, Inc.",AllTek Staffing & Resource Group,,,,,,,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
2006,"Albertson, New York, United States",President at Dellon Sales,,2001–2005,Supply Chain Mangement and Information Systems,Pennsylvania State,Dellon Sales,,,,,,,,,40.772229,-73.646881,New York,Nassau,,36059
2007,"Chester Springs, Pennsylvania, United States",Chief Strategy Officer at Imagine360,Senior Vice President Innovation at ELAP Services,Penn State University,Accounting and International Business,Pennsylvania State,Imagine360,ELAP Services,,,,,,,,40.095104,-75.616868,Pennsylvania,Chester,West Pikeland Township,42029
2008, Chicago ,Senior Strategic Sourcing Manager at First Alert,"Global Sourcing Manager at Innocor, Inc.",Penn State University,"Supply Chain Management, Marketing",Pennsylvania State,First Alert,"Innocor, Inc.",,,,,,,,41.875562,-87.624421,Illinois,Cook,Chicago,17031
2009,"Hollidaysburg, Pennsylvania, United States",VP of Finance at Pennstress,Director of Finance at DiamondBack Covers,"University of California, Irvine - The Paul Merage School of Business","Finance, General",Pennsylvania State,Pennstress,DiamondBack Covers,,,,,,,,40.430774,-78.390083,Pennsylvania,Blair,,42013
2010,Miami-Fort Lauderdale ,"Director, Supply Chain at Edwards Lifesciences","Global Planning Director, Product Supply at Procter & Gamble",Penn State University,Supply Chain Management,Pennsylvania State,Edwards Lifesciences,Procter & Gamble,,,,,,,,26.09474,-80.135182,Florida,Broward,Fort Lauderdale,12011
2011, Chicago ,"Founder at Richard F. Tomlinson, II LLC","Managing Partner at Skidmore, Owings & Merrill LLP (SOM)",University of Illinois at Urbana-Champaign,,Pennsylvania State,"Richard F. Tomlinson, II LLC","Skidmore, Owings & Merrill LLP (SOM)",,,,,,,,41.875562,-87.624421,Illinois,Cook,Chicago,17031
2012,"Fairfax, Virginia, United States","Operations Manager, High Containment Biomaterials Team at ATCC","Technical Manager, High Containment Biomaterials Team at ATCC",Penn State University,Biology,Pennsylvania State,ATCC,ATCC,,,,,,,,38.846224,-77.306373,Virginia,Fairfax,Fairfax,51059
2013,"Blythewood, South Carolina, United States",Director Of Operations at Domino's,Plant Manager at Conagra Brands,South Carolina State University,,Pennsylvania State,Domino's,Conagra Brands,,,,,,,,34.2187,-80.984569,South Carolina,Richland,,45079
2014,"West Grove, Pennsylvania, United States","Digital Transformation - Program Manager(Solution Train Engineer) at Wawa, Inc.","IT Mobility Manager at Wawa, Inc.",Villanova University,Agile Program Management,Pennsylvania State,"Wawa, Inc.","Wawa, Inc.",,,,,,,,39.820557,-75.828327,Pennsylvania,Chester,,42029
2015,"Douglassville, Pennsylvania, United States",President & CEO at American Crane and Equipment Corporation,President & COO at American Crane and Equipment Corporation,2007–2009,MBA,Pennsylvania State,American Crane and Equipment Corporation,American Crane and Equipment Corporation,,,,,,,,40.257871,-75.726301,Pennsylvania,Berks,Amity Township,42011
2017,New York City  ,"Director, Digital Insights at Bed Bath & Beyond","Senior Manager, Digital Insights at Bed Bath & Beyond",Education (same page),Marketing,Pennsylvania State,Bed Bath & Beyond,Bed Bath & Beyond,,,,,,,,40.712728,-74.006015,New York,,New York,36061
2019,"New York, New York, United States",Co-Founder & COO at Pronto Housing,Owner at The Beach House Boutique Hotel,Dartmouth College - The Tuck School of Business at Dartmouth,Supply Chain & Information Systems,Pennsylvania State,Pronto Housing,The Beach House Boutique Hotel,,,,,,,,40.712728,-74.006015,New York,,New York,36061
2020,"State College, Pennsylvania, United States",Co-Founder at Nuntii,Software Developer at Nuntii,Penn State University,Computer Science,Pennsylvania State,Nuntii,Nuntii,,,,,,,,40.79445,-77.861639,Pennsylvania,Centre,State College,42027
2021,"Oakland, California, United States",Director Technology Solutions at Acuity Brands,Director of Business Development at Acuity Brands,1982–1987,"Architectural Engineering, ABET accredited",Pennsylvania State,Acuity Brands,Acuity Brands,"335121 Yard Lights, residential electric, manufacturing",,31-33,,Manufacturing,69174.562,,37.804456,-122.271356,California,Alameda,Oakland,06001
2022,"Orange County, California, United States",Chief Operating Officer at Hot Topic,SVP Global Operations & IT at Billabong,Penn State University,Industrial Engineering,Pennsylvania State,Hot Topic,Billabong,,,,,,,,33.750038,-117.870493,California,Orange,,06059
2023,"Sarasota, Florida, United States",Chief Executive Officer at WellSpring Consumer Healthcare,Vice President of Sales and Marketing - Executive Team at WellSpring Consumer Healthcare,Vanderbilt University - Owen Graduate School of Management,Brand Management,Pennsylvania State,WellSpring Consumer Healthcare,WellSpring Consumer Healthcare,,,,,,,,27.33658,-82.530854,Florida,Sarasota,Sarasota,12115
2024,"York, Pennsylvania, United States",Chief Executive Officer at RG-Group.com,Chief Operating Officer at RG-Group.com,The Pennsylvania State University,Mechanical Engineering,Pennsylvania State,RG-Group.com,RG-Group.com,,,,,,,,39.962462,-76.727707,Pennsylvania,York,York,42133
2026,"State College, Pennsylvania, United States",Chief Technology Officer at Videon,President at Videon Central,Penn State University,Electrical and Electronics Engineering,Pennsylvania State,Videon,Videon Central,,,,,,,,40.79445,-77.861639,Pennsylvania,Centre,State College,42027
2027,Salt Lake City  ,SVP & Chief Operating Officer at Merrick Bank,Head Of Operations at Varo Money Inc.,Frostburg State University,Pre-Law,Pennsylvania State,Merrick Bank,Varo Money Inc.,,,,,,,,40.75962,-111.886798,Utah,Salt Lake,Salt Lake City,49035
2028,"Olympia, Washington, United States",CEO  at Physicians of Southwest Washington LLC,"Vice President of Operations at Prestige Care, Inc.",Penn State University,"Human Development, Family Studies, and Related Services",Pennsylvania State,Physicians of Southwest Washington LLC,"Prestige Care, Inc.",,,,,,,,47.045102,-122.895008,Washington,Thurston,Olympia,53067
2029,"State College, Pennsylvania, United States",Chief Technology Officer at AccuWeather,"Vice President, Technology at AccuWeather",Penn State University,Meteorology,Pennsylvania State,AccuWeather,AccuWeather,,,,,,,,40.79445,-77.861639,Pennsylvania,Centre,State College,42027
2030, Phoenix ,Senior Solutions Architect at Intel Corporation,Corporate Strategic Planner and Technology Manager at Intel Corporation,Penn State University,Electrical Engineering,Pennsylvania State,Intel Corporation,Intel Corporation,,,,,,,,33.448437,-112.074142,Arizona,Maricopa,Phoenix,04013
2031,"Harrisburg, Pennsylvania, United States",President at JPL,Executive Vice President at JPL Productions,1991–1996,Training and Development,Pennsylvania State,JPL,JPL Productions,,,,,,,,40.266311,-76.886112,Pennsylvania,Dauphin,Harrisburg,42043
2032,"Conshohocken, Pennsylvania, United States",Sr. Director Global Procurement at Cardone Industries,"Director Of Operations at Schiller Grounds Care, Inc.",Penn State University,Supply Chain Management and Information Systems,Pennsylvania State,Cardone Industries,"Schiller Grounds Care, Inc.",,,,,,,,40.079277,-75.301571,Pennsylvania,Montgomery,,42091
2033,"Hartland, Wisconsin, United States",Exec. VP Global Operations at Milwaukee Tool,"Chief Supply Chain Officer, Executive Vice President at Pentair",Northwestern University - Kellogg School of Management,Industrial Engineering,Pennsylvania State,Milwaukee Tool,Pentair,,,,,,,,43.105008,-88.34204,Wisconsin,Waukesha,,55133
2034,"Collierville, Tennessee, United States","Director, Strategic Procurement at Smith & Nephew","Global Category Manager, Strategic Procurement at Smith & Nephew",1990–1994,Management,Pennsylvania State,Smith & Nephew,Smith & Nephew,,,,,,,,35.042036,-89.664527,Tennessee,Shelby,,47157
2037,"Houston, Texas, United States",Founder at MAGSOL Organics,Vice President Engineering at Moelis & Company,Penn State University,Petroleum & Natural Gas Engineering,Pennsylvania State,MAGSOL Organics,Moelis & Company,,,,,,,,29.758938,-95.367697,Texas,Harris,Houston,48201
2038, Philadelphia,"Director, Product Management & User Experience at URBN (Urban Outfitters, Anthropologie Group, Free People & Nuuly)","Director, Digital Product Management (Anthropologie) at URBN (Urban Outfitters, Anthropologie Group, & Free People)",Penn State University,Management Science & Information Systems,Pennsylvania State,"URBN (Urban Outfitters, Anthropologie Group, Free People & Nuuly)","URBN (Urban Outfitters, Anthropologie Group, & Free People)",,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
2039,"Tonawanda, New York, United States",CHIEF TECHNOLOGY OFFICER at UNIFRAX,Vice President Research and Development at CARBO Ceramics Inc.,"Troy State University, Malmstrom Air Force Base, Great Falls, MT",Bachelor of Science / Ceramic Science and Engineering,Pennsylvania State,UNIFRAX,CARBO Ceramics Inc.,"327999 Synthetic stones, for gem stones and industrial use, manufacturing",,31-33,,Manufacturing,69174.562,,43.020679,-78.878383,New York,Erie,City of Tonawanda,36029
2040,"Houston, Texas, United States",Co-Founder and Director of Technology at Armexa,OT Security Innovation Principal Director at Accenture,2004–2008,Mechanical Engineering,Pennsylvania State,Armexa,Accenture,,,,,,,,29.758938,-95.367697,Texas,Harris,Houston,48201
2041,Los Angeles  ,"VP, Ecommerce at ANINE BING","Head of Ecommerce BCBG, BCBGeneration, Herve Leger at Centric Brands",Penn State University,Business Strategy & Finance,Pennsylvania State,ANINE BING,Centric Brands,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
2042,"Bend, Oregon, United States",Executive Vice President Of Sales at Nogin,"Vice President, Digital Commerce at DMI (Digital Management, LLC)",Penn State University,Hotel and Recreation Administration,Pennsylvania State,Nogin,"DMI (Digital Management, LLC)",,,,,,,,44.058173,-121.31531,Oregon,Deschutes,Bend,41017
2043,"Nashville, Tennessee, United States",President / Owner at Double Diamond Marketing + Communications,Design – Sports & Special Features at The Tennessean,Penn State University,Journalism/French,Pennsylvania State,Double Diamond Marketing + Communications,The Tennessean,,,,,,,,36.162277,-86.774298,Tennessee,Davidson,Nashville-Davidson,47037
2044,"Philadelphia, Pennsylvania, United States",Co-Founder at Hitched,Director of Marketing at Unitek Learning,2006–2010,"Advertising, Business and Dance Minors",Pennsylvania State,Hitched,Unitek Learning,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
2045,"West Chester, Pennsylvania, United States",Chief Operations Officer at Think Company,VP of Project Management at Empathy Lab,1991–1993,,Pennsylvania State,Think Company,Empathy Lab,,,,,,,,39.959721,-75.605964,Pennsylvania,Chester,,42029
2046,"Wilmington, Delaware, United States",Chief Executive Officer at Celéri Health,Managing Member and CFO at Second Chances Farm,Duke University School of Law,Accounting,Pennsylvania State,Celéri Health,Second Chances Farm,,,,,,,,39.745947,-75.546589,Delaware,New Castle,Wilmington,10003
2047,"Minneapolis, Minnesota, United States",Chief Operating Officer at M. A. Mortenson Company,Project Manager at McDevitt & Street,Penn State University,Construction Management,Pennsylvania State,M. A. Mortenson Company,McDevitt & Street,,,,,,,,44.9773,-93.265469,Minnesota,Hennepin,Minneapolis,27053
2048,"Overland Park, Kansas, United States",Head of Customer & Employee Experience at Santander Consumer USA,Chief Operating Officer - National Flood Services at Aon,2003–2005,Supply Chain Management,Pennsylvania State,Santander Consumer USA,Aon,,,,,,,,38.97425,-94.68517,Kansas,Johnson,Overland Park,20091
2049,"New York, New York, United States",Consumer & Product Insights Manager at hims & hers,"Senior Director, Growth and Innovation at maslansky + partners",Georgetown University,Language and Communication,Pennsylvania State,hims & hers,maslansky + partners,,,,,,,,40.712728,-74.006015,New York,,New York,36061
2050,"Cincinnati, Ohio, United States","Vice President, Revenue Cycle at The Christ Hospital Health Network","Sr. Director, Revenue Cycle at UPMC",2000–2004,Accounting,Pennsylvania State,The Christ Hospital Health Network,UPMC,,,,,,,,39.101454,-84.51246,Ohio,Hamilton,Cincinnati,39061
2051,"Kennett Square, Pennsylvania, United States","IT Director, Exelon Power/Wind at Exelon","IT Manager, Infrastructure Systems and Projects at Exelon",Drexel University,Electrical Engineering,Pennsylvania State,Exelon,Exelon,,,,,,,,39.846741,-75.7117,Pennsylvania,Chester,,42029
2052, Philadelphia,Director Of Operations at AVI Foodsystems,Regional Manager at Culinary Services Group,Penn State University,Penn State University,Pennsylvania State,AVI Foodsystems,Culinary Services Group,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
2053,"Everett, Washington, United States",Engineering Manager - Product Lifecycle Management at Boeing,"Senior Business Operations, Business Architect, Project Manager at Boeing",Penn State University,Systems Engineering,Pennsylvania State,Boeing,Boeing,,,,,,,,47.967306,-122.201399,Washington,Snohomish,Everett,53061
2054,Los Angeles  ,"VP, Planning & Forecasting at Studio Distribution Services",Vice President of Supply Chain & QA at Chicken of the Sea,Penn State University,Business Logistics,Pennsylvania State,Studio Distribution Services,Chicken of the Sea,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
2055, Pittsburgh ,"Senior Vice President, Enterprise Applications & Business Intelligence at TriState Capital Bank","Vice President, Enterprise Applications & Business Intelligence at TriState Capital Bank",Penn State University - Main Campus,Computer Science,Pennsylvania State,TriState Capital Bank,TriState Capital Bank,,,,,,,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
2056,"Davidson, North Carolina, United States","Senior Manager Data Science & Analytics at Lowe's Companies, Inc.","Principal Data Scientist at Lowe's Companies, Inc.",Georgia Institute of Technology,Computer Science,Pennsylvania State,"Lowe's Companies, Inc.","Lowe's Companies, Inc.",,,,,,,,35.499261,-80.848522,North Carolina,Mecklenburg,,37119
2057,"Los Angeles, California, United States","VP/GM, AMERICAS at The North Face, a VF Company",VP Merchandising at Vans a Division of VF Outdoor,Penn State University,Marketing,Pennsylvania State,"The North Face, a VF Company",Vans a Division of VF Outdoor,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
2058,"Blakeslee, Pennsylvania, United States",VP Operations at Premise Health - Onsite Health Programs,Senior Director at Comprehensive Health Services,Clinton Community College,Nursing,Pennsylvania State,Premise Health - Onsite Health Programs,Comprehensive Health Services,,,,,,,,41.092586,-75.592689,Pennsylvania,Monroe,Tobyhanna Township,42089
2059,"New York, New York, United States","Managing Partner, Head of Strategy at Anomaly",Group Strategy Director at Anomaly,Boston University,Adv./PR; Communication Research,Pennsylvania State,Anomaly,Anomaly,,999990,,99,,,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OEWS Designation)",40.712728,-74.006015,New York,,New York,36061
2060,"East Lansing, Michigan, United States","Sr. Vice President, Chief Financial Officer and Treasurer at Michigan State University","Senior Associate Vice Chancellor - Chief Finance and Budget Officer at University of California, Davis",1982–1984,Finance and Marketing,Pennsylvania State,Michigan State University,"University of California, Davis",,,,,,,,42.732031,-84.472168,Michigan,Ingham,,26065
