current_location,current_work,previous_work,latest_Education,majro,search_school,Unnamed: 0
500+ connections,Director Of Ecommerce at Papa & Barkley,Director Of Ecommerce at Milani Cosmetics,"University of California, Riverside","Business Administration, Marketing","University of California, Riverside",445.0
Argentina,CEO at together w/,"President, CEO & Partner, FCB&FiRe at FCB Global",Pontificia Universidad Católica Argentina 'Santa María de los Buenos Aires',Industrial Engineering,"University of California, Riverside",446.0
"Upland, California, United States",COO Smart Health Clubs at Smart Health Clubs,President/CEO at The Claremont Club,Riverside Poly High School,Social Sciences,"University of California, Riverside",447.0
"Santa Ana, California, United States",Chief Executive Officer at Society for the Promotion of Japanese Animation (SPJA),Chief Operating Officer at Society for the Promotion of Japanese Animation (SPJA),1997–2001,Economics / Admin. Studies in Finance,"University of California, Riverside",448.0
Laila Mickelwait is the Founder and CEO of the Justice Defense Fund and the Founder of the global #Traffickinghub movement supported by millions around the world. …see more,Founder/CEO at Justice Defense Fund,Founder at New Reality International,University of Southern California,Public Diplomacy,"University of California, Riverside",449.0
"San Diego, California, United States",CEO at Vivid-Hosting,Principal Engineer at Plug-In Supply,"University of California, Riverside",Computer Science,"University of California, Riverside",450.0
"Los Angeles, California, United States",Founder at WYLLOW,Technology Deployment Manager at Robert Half,2006–2010,Finance,"University of California, Riverside",451.0
Los Angeles Metropolitan Area,"Chief Financial Officer at Veritone, Inc.",CFO at LiveXLive Media Inc,1994–1995,Accounting,"University of California, Riverside",452.0
"Dallas, Texas, United States","Senior Manager of Growth Marketing (SEO, Affiliate & CRO) at Funimation",Senior Manager of Audience Development at Funimation,2008–2010,Marketing,"University of California, Riverside",453.0
"Milan, Lombardy, Italy",Head Of Marketing at Eataly,Co-founder | Love Home And Planet at Unilever,Università Bocconi,Marketing Management,"University of California, Riverside",454.0
Los Angeles Metropolitan Area,IT Director - IT Security & Compliance at Molina Healthcare,Messaging Consultant at Kaiser Permanente IT,Western Governors University,B.S. Information Technology—Security,"University of California, Riverside",455.0
"Vancouver, Washington, United States",COO at AdventHealth,"CFO, Columbia Network at PeaceHealth",Yale University - Yale School of Management,Financial Analysis; Healthcare Mgmt; Operations Mgmt,"University of California, Riverside",456.0
"Reno, Nevada, United States","Director of R&D at NexTech Batteries, Inc.",Sr. Electrochemical Scientist at ZAF Energy Systems Inc.,"University of California, Riverside",Materials Science and Engineering,"University of California, Riverside",457.0
"Calabasas, California, United States","Vice President of Purchasing, Sourcing and Logistics at URO Parts / A.P.A. Industries, Inc.","Director of Purchasing at URO Parts / A.P.A. Industries, Inc.",Keller Graduate School of Management of DeVry University,Global Supply Chain Management,"University of California, Riverside",458.0
"Garden Grove, California, United States",President at SENTRI INSTITUTE INC.,Operations Manager at Terminal Logistics,California State University-Fullerton,Political Science,"University of California, Riverside",459.0
San Francisco Bay Area,President and Chief Executive Officer at Minaris Medical America Inc,"President and Chief Executive Officer at Hitachi Chemical Diagnostics, Inc.","University of California, Riverside","Biology, General","University of California, Riverside",460.0
San Francisco Bay Area,President and Chief Executive Officer at Minaris Medical America Inc,"President and Chief Executive Officer at Hitachi Chemical Diagnostics, Inc.","University of California, Riverside",,"University of California, Riverside",461.0
"Lake Elsinore, California, United States",Supply Chain Manager at Plant Prefab,Procurement Manager at KOBELCO COMPRESSORS AMERICA INC.,University of Phoenix,"Business Administration and Management, General","University of California, Riverside",462.0
Greater Chicago Area,Founder and CEO at WJY Studios,VP of UX at Kin Insurance,2000–2002,Computer Science,"University of California, Riverside",463.0
"Bloomingdale, Illinois, United States","Director, Customer Marketing at Traliant",Global Campaign & Analytics Manager at Flexera,"University of California, Riverside","English Language and Literature, General","University of California, Riverside",464.0
"Arlington, Virginia, United States","Senior Manager, Application Management at Sony","Senior Analyst, Platform Support at Sony","University of California, Riverside",Film and Visual Culture,"University of California, Riverside",465.0
Dallas-Fort Worth Metroplex,Chief Financial Officer - Toyota Financial Savings Bank at Toyota North America,General Manager - Head of TMCC Treasury & Treasurer - Toyota Financial Savings Bank at Toyota North America,2003–2005,Mathematics,"University of California, Riverside",466.0
"Orange County, California, United States","Head of Engineering, Advanced Projects at SpinLaunch","Sr. Manager, Program Management at Apple",1996–2000,Mechanical Engineering,"University of California, Riverside",467.0
Greater Barcelona Metropolitan Area,VP of Commercial Operations at TravelPerk,Head of Revenue Operations and Analytics at Red Points,"University of California, Riverside","Business Administration, emphasis Corporate Finance","University of California, Riverside",468.0
"Anaheim, California, United States","Director, Contact Center & Customer Experience at SCAN Health Plan",Vice President of Operations/Consultant - Contract Role at Mnet Health Services,Keller Graduate School of Management,Finance,"University of California, Riverside",469.0
New York City Metropolitan Area,SVP Product Management at Pypestream,VP of Product Management at Pypestream,EBS - European Business School Paris,Business,"University of California, Riverside",470.0
"Geneva, Geneva, Switzerland","Head of Research, data & insights at ROLEX",Head of Research and Brand Insights - Communication & Image at ROLEX,Haute école de gestion Arc,Marketing,"University of California, Riverside",471.0
"New York, New York, United States","Director, Digital Marketing and Communications at Milken Institute","Associate Director, Social Media, Digital Marketing & Communications at Milken Institute","University of California, Riverside",Creative Writing,"University of California, Riverside",472.0
500+ connections,Senior Talent Acquisition Consultant at Alignment Healthcare,Senior IT Recruiter at VincentBenjamin,"University of California, Riverside",Media and Cultural Studies,"University of California, Riverside",473.0
"Los Angeles, California, United States",Director of Software Engineering - Real Estate Intelligence / Mobile at Crexi,Engineering Manager - Real Estate Intelligence / Mobile at CREXi,"University of California, Riverside",Biological Science with Concentration in Bioinformatics and Genomics,"University of California, Riverside",474.0
"Gainesville, Georgia, United States",Director of Solutions at Dynamic Self-Storage Solutions,Chief Operating Officer at StoreEase Virtual Management,"University of California, Riverside","Human Resources Management/Personnel Administration, General","University of California, Riverside",475.0
Los Angeles Metropolitan Area,Information Technology Services Manager at WeWork,Technology Lead at WeWork,"University of California, Riverside",,"University of California, Riverside",476.0
Los Angeles Metropolitan Area,"Director, Supply Chain Engineering - Logistics Network Implementation at Ross Stores, Inc. at Ross Stores, Inc.","Sr. Project Manager, Supply Chain Engineering - Logistics Network Strategy at Ross Stores, Inc.",California State Polytechnic University-Pomona,Industrial Engineering,"University of California, Riverside",477.0
"Pasadena, California, United States","Vice President, Operations at CarbonCapture Inc.",Co-Founder & CEO at Point Load Power,UC San Diego,Mechanical Engineering,"University of California, Riverside",478.0
Los Angeles Metropolitan Area,Senior Marketing Art Director at Zynga,"Consultant - Mobile Games, UA Marketing at Self-employed","University of California, Riverside",Liberal Arts; Studio Art,"University of California, Riverside",479.0
Los Angeles Metropolitan Area,Managing Partner at Verizon Business,Regional Sales Manager at AT&T,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside",480.0
"Istanbul, Istanbul, Turkey",Business Director at Yiğitoğlu Kimya A.Ş,Area Manager at cph Deutschland Chemie GmbH,"University of California, Riverside",Marketing and Management,"University of California, Riverside",481.0
"Irvine, California, United States","Head Of Quality, Microbial Manufacturing Services at Thermo Fisher Scientific at Thermo Fisher Scientific",Associate Director Microbiology at B. Braun Medical,"University of California, Riverside",Biochemistry and Molecular Biology,"University of California, Riverside",482.0
Los Angeles Metropolitan Area,Dir. of Business Development at Univision Communications Inc.,Sr. Account Executive at Discovery Inc,"University of California, Riverside",Business Administration,"University of California, Riverside",483.0
"Austin, Texas, United States",Database Engineering Manager at Apple,Manager at Apple Inc,"University of California, Riverside",Data Science,"University of California, Riverside",484.0
"Orange County, California, United States","Director, Integrated Marketing at Experian Consumer Services","Manager, Media Partnerships & Innovation at Blizzard Entertainment","California State University-Fullerton, Mihaylo College of Business and Economics",Marketing Analytics,"University of California, Riverside",485.0
New York City Metropolitan Area,Senior Operations Manager at North American Logistics Group,Senior Manager Special Operations at HelloFresh,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside",486.0
Los Angeles Metropolitan Area,Principal at Trek10,"Sr.VP,  Marketing, Analytics, Communications and Foundation at Smile Brands Inc.",Loyola Marymount University,Marketing,"University of California, Riverside",487.0
San Francisco Bay Area,Senior Marketing Program Manager at Deputy,Marketing Communications Lead at Reali,"University of California, Riverside","Political Science and International Affairs, minor in Creative Writing","University of California, Riverside",488.0
"Los Angeles County, California, United States","Marketing and Communications Specialist, Experian Health at Experian",Content Marketing Specialist at Experian,2013–Mar 2017,"Business Administration, Marketing & Information Systems","University of California, Riverside",489.0
Dallas-Fort Worth Metroplex,"Head of Retail ATMaaS Solutions, Payments and Network at NCR Corporation",Head of Strategy & Research for Global IT at JPMorgan Chase & Co.,"University of California, Riverside",Bachelors of Science with Honors in Economics,"University of California, Riverside",490.0
"Amsterdam, North Holland, Netherlands",Global Knorr Digital and Social Content Manager  at Unilever,Country Media Manager - Indonesia at Unilever,King's College London,Public Health,"University of California, Riverside",491.0
San Francisco Bay Area,Partner at Lifes Leaf CBD,Certified Pharmacy Technician at CVS Pharmacy,San Jose State University,Kinesiology and Exercise Science,"University of California, Riverside",492.0
500+ connections,Research Analyst at UMass Global,Reservations Specialist at UC Irvine,"University of California, Riverside",Higher Education/Higher Education Administration,"University of California, Riverside",493.0
Los Angeles Metropolitan Area,Research and Development Manager at Pacer Technology (AC Marca),"Cosmetic Formulation Chemist at DeveloPlus, Inc.",2010–2014,Chemistry,"University of California, Riverside",494.0
"Los Angeles, California, United States","SVP, Head of Planning and Performance Management, Expense Analytics and Finance Operations at Farmers Insurance","VP, Head of Financial Reporting, Investments Accounting & Internal Control over Financial Reporting at Farmers Insurance","University of California, Riverside",Accounting and Business/Management,"University of California, Riverside",495.0
"Hilliard, Ohio, United States",Senior Vice President at Cardinal Health,"Vice President, Human Resources - Corporate Affairs, Finance, Human Resources, Strategy at Cardinal Health",1990–1992,Administrative Studies,"University of California, Riverside",496.0
"Norwalk, California, United States",Category Marketing Manager at Goya Foods,,Udacity,"Finance, General","University of California, Riverside",497.0
500+ connections,"Recruiting Coordinator, Business at Envoy","Recruiting Coordinator, Business at DoorDash","University of California, Riverside",,"University of California, Riverside",498.0
San Francisco Bay Area,Customer Strategy & Programs Lead at Plaid,"VP, Services Strategy & Programs at Twilio Inc.",UC Riverside,Business Administration,"University of California, Riverside",499.0
"Los Angeles, California, United States","Manager, Learning & Organizational Development at Endeavor","Human Resources Manager, West Coast at Centric Brands","University of California, Riverside","Business Administration, concentration in Management","University of California, Riverside",500.0
"Los Angeles, California, United States","Managing Director, JLL Capital Markets at JLL",Acquisitions Manager at Public Storage,2002–2005,Business Administration,"University of California, Riverside",501.0
San Francisco Bay Area,Product Development Manager at Biossance,New Product Development Specialist at Biossance,"University of California, Riverside",Biology,"University of California, Riverside",502.0
United States,Systems Engineer/Product Development  at Thermo Fisher Scientific,"Research Associate at ChromaCode, Inc.","University of California, Riverside",BIoengineering,"University of California, Riverside",503.0
"Tustin, California, United States",Director of Talent Acquisition at New American Funding,Sr. Talent Acquisition Manager at New American Funding,UC Riverside,Economics and Business Administration w/ Marketing & Advertising Emphasis,"University of California, Riverside",504.0
Los Angeles Metropolitan Area,Talent Sourcer at MediaAlpha,Human Resources Assistant at UCR Extension,"University of California, Riverside","Business Administration and Management, Marketing","University of California, Riverside",505.0
France,Founder  at Digitalised,Chief Executive & Digital Officer at LasTable,"University of California, Riverside",Master II Business Strategy,"University of California, Riverside",506.0
"Arlington, Texas, United States",Director Customer Experience at Martin Sprocket & Gear,District Manager at Martin Sprocket & Gear,"University of California, Riverside","Liberal Arts and Sciences, General Studies and Humanities","University of California, Riverside",507.0
Greater Boston,"Vice President, Studio Head at WB Games Boston",Vice President of Games at Zynga,"University of California, Riverside",Computer Science,"University of California, Riverside",508.0
"Orange County, California, United States",Vice President at Subchondral Solutions,Technology Consultant at Arthrex,2007–2011,Mechanical Engineering/Management Science,"University of California, Riverside",509.0
Greater Paris Metropolitan Region,Brand & Communication Manager at Spendesk,Senior Public Relations Consultant at Hotwire,Ipag Business School,Master II - Marketing et Communication,"University of California, Riverside",510.0
"Los Angeles, California, United States",Senior Software Engineer at Rivian,Senior Frontend Engineer at Ruggable®,"University of California, Riverside",IT System/Network Engineering,"University of California, Riverside",511.0
Greater Chicago Area,"Sr. Strategic Sourcing Manager at Focal Point, LLC",Director of Supply Chain & Strategic Sourcing at Sparton Corporation,"Arizona State University, W. P. Carey School of Business",Purchasing/Logistics/Materials Management,"University of California, Riverside",512.0
"Goiânia, Goiás, Brazil","Diretor de Desenvolvimento de Negócios, Parcerias e Multimercado at Tahto",Diretor de Retenção at BTCC Conexão Cliente,2007–2008,Gestão Empresarial,"University of California, Riverside",513.0
"Washington, District of Columbia, United States","Director of Analytics, Global Policy & Access Strategies at AbbVie","Senior Director, Policy Analytics at Avalere Health",Carnegie Mellon University - Heinz College of Information Systems and Public Policy,Concentrations in Information Systems & Financial Analysis,"University of California, Riverside",514.0
"San Francisco, California, United States",Real Estate Agent at Fair Trade Real Estate,Account Executive at Yelp,"University of California, Riverside",Sociology,"University of California, Riverside",515.0
San Francisco Bay Area,Consumer Insights Intern at Dolby Laboratories,Co-President & Market Research Lead at Management Information Systems Society,"University of California, Riverside","Business Administration (Information Systems), Minor: Applied Statistics","University of California, Riverside",516.0
San Francisco Bay Area,Consumer Insights Intern at Dolby Laboratories,Co-President & Market Research Lead at Management Information Systems Society,"University of California, Riverside",,"University of California, Riverside",517.0
"Layton, Utah, United States","Senior System Administrator at DMI (Digital Management, LLC)",System Administrator III at Stater Bros. Markets,"University of California, Riverside",CyberSecurity,"University of California, Riverside",518.0
"Huntington Beach, California, United States",New Business Strategist at Snap Inc.,Business Development Representative at NetSuite,"University of California, Riverside","Business, Management, Marketing, and Related Support Services","University of California, Riverside",519.0
"Bangkok City, Thailand",Head Of UX/UI at CPF Group,Head Of Design at T.N. Incorporation Ltd.,Birmingham Institute of Art and Design (BCU),Visual Communication Design,"University of California, Riverside",520.0
"West Hollywood, California, United States","Senior Manager, Payroll at Riot Games","Director, Global Payroll at Alteryx","University of California, Riverside",Finance and General Management,"University of California, Riverside",521.0
476 connections,Product Development Manager at Shoes For Crews,Product Operations Liaison at Shoes For Crews,"University of California, Riverside","Business Administration, Concentration: Finance","University of California, Riverside",522.0
"Los Angeles, California, United States","Director | Construction & Development at EPG, Inc.","Project Manager | Construction & Development at EPG, Inc.","University of California, Riverside",Media and Cultural Studies with a focus in Film and Visual Media,"University of California, Riverside",523.0
"Los Angeles, California, United States",Project Manager/Health Program Analyst I for Community Contact Tracing (COVID-19) at Los Angeles County Department of Public Health,Clinic Coordinator at Docs Spine + Orthopedics,Claremont Graduate University,Applied Biostatistics & Epidemiology,"University of California, Riverside",524.0
500+ connections,Business Recruiter at BlueVine,Technical Recruiter at Fictiv,"University of California, Riverside","Media and Cultural Studies Major, Political Science Minor","University of California, Riverside",525.0
500+ connections,Associate ABM Specialist at Esri,UX Designer at Seren,Springboard,"Business Administration, Concentration in Marketing","University of California, Riverside",526.0
"Fountain Valley, California, United States",Pricing Analyst at Mortgage Capital Partners Inc.,Secondary Market Analyst at New American Funding,"University of California, Riverside",Business/Managerial Economics,"University of California, Riverside",527.0
Greater Sacramento,"Vice President of Diversity, Equity, and Social Impact at Sacramento Kings","Director, Training & Community Relations at University of California, Davis - School of Education Center for Community School Partnerships","University of California, Riverside",Political Science,"University of California, Riverside",528.0
Greater Sacramento,"Vice President of Diversity, Equity, and Social Impact at Sacramento Kings","Director, Training & Community Relations at University of California, Davis - School of Education Center for Community School Partnerships","University of California, Riverside",,"University of California, Riverside",529.0
"San Francisco, California, United States",Senior Public Relations Manager at Adobe,Public Relations Manager at Adobe,2009–2011,Business Administration,"University of California, Riverside",530.0
"Fremont, California, United States",People Operations at Grammarly,People & Recruiting Operations Specialist at Udemy,"University of California, Davis",Communication with Emphasis in Organizational Communication,"University of California, Riverside",531.0
"Torrance, California, United States","Manager, Vehicle Marketing and Communications- Fuel Cell at Toyota Motor Corporation",Operations Manager at Toyota North America,2019–2021,"Business Administration, Management and Operations- Organizational Development","University of California, Riverside",532.0
"Los Angeles, California, United States",Nurse Recruiter II  at AltaMed Health Services,Talent Acquisition Specialist- Nursing and Allied Health  at Prime Healthcare,Downey High School,,"University of California, Riverside",533.0
"Irvine, California, United States",National Sales Manager - Wireless Key Accounts at Anritsu,US Director of Sales at Instek America Corp.,1982–1987,Computer Science & Business Economics,"University of California, Riverside",534.0
San Francisco Bay Area,Technical Sourcer at Meta,Senior Business Development Representative at Square,"University of California, Riverside",Business Administration,"University of California, Riverside",535.0
"San Diego County, California, United States",CEO at High Impact,"Vice President and General Manager, Disputes and Investigations Business Unit at Elevate Services","Loyola Law School, Los Angeles",Economics,"University of California, Riverside",536.0
"San Diego, California, United States",Vice President Marketing at Axos Bank,"AVP, Senior Marketing Manager  at HomeStreet Bank","University of California, Riverside",Business Economics & Marketing,"University of California, Riverside",537.0
"San Francisco, California, United States",Sr. Director of Product Management at Zazzle,Director of Product Management  at Zazzle,Michigan State University - The Eli Broad Graduate School of Management,Business Administration,"University of California, Riverside",538.0
"Chino Hills, California, United States",Senior Supply Chain Manager at Yamamotoyama,"Director, Global Supply Chain at International Vitamin Corporation",1977–1981,Behavioral Science,"University of California, Riverside",539.0
Los Angeles Metropolitan Area,CEO at The Shalizi Group,Artist Manager at Redlight Management,"University of California, Riverside",Finance,"University of California, Riverside",540.0
"Santa Monica, California, United States",Co-Founder & CTO at Plink,Co-Founder & CTO at Sprocket,UC Riverside,Computer Science,"University of California, Riverside",541.0
"Irvine, California, United States",IT Portfolio Manager at AbbVie,Program Manager at Mint Mobile,California State Polytechnic University-Pomona,,"University of California, Riverside",542.0
Los Angeles Metropolitan Area,"Merchandising Manager, ecommerce at Ring an Amazon Company",Channel Marketing Manager - Digital/Ecommerce at Ring an Amazon company,"California State University, Northridge",Public Policy with Minor in History,"University of California, Riverside",543.0
Los Angeles Metropolitan Area,CEO and Founder at Zonum Real Estate,Intern at Facebook,"University of California, Riverside",Marketing,"University of California, Riverside",544.0
"Irvine, California, United States",Chief Marketing Officer at Spirion,"VP of Product Marketing at Ephesoft, Inc.",1991–1993,Geology,"University of California, Riverside",545.0
"Lake Forest, California, United States",Vice President of Marketing at MDxHealth,Senior Director of Marketing at MDxHealth,"University of California, Riverside",Economics/Law and Society,"University of California, Riverside",546.0
"Charleston, South Carolina, United States",Assistant Provost for Data Science and Informatics (ADSI) at Medical University of South Carolina,Chief Medical Informatics Officer at Health Sciences South Carolina,1987–1990,Biomedical Inforamtics,"University of California, Riverside",547.0
"Anaheim, California, United States","Senior Product Owner, eCommerce at Arbonne International LLC",Senior Manager Ecommerce at Preferred Hotels & Resorts,"University of California, Riverside",Marketing,"University of California, Riverside",548.0
"Redlands, California, United States",Founder / CEO at venntov,Identity and Access Management (IAM) Product Owner at Esri,1997–2002,Computer Science,"University of California, Riverside",549.0
"Irvine, California, United States",Contract Corporate Recruiter at NORESCO,4 yrs 3 mos,UC Riverside,Construction,"University of California, Riverside",550.0
San Francisco Bay Area,"Marketing Technology Manager, Paid Social B2B at Uber","Performance Media Manager, Demand Generation at Dropbox",Santa Clara University - Leavey School of Business,Marketing,"University of California, Riverside",551.0
"Marina del Rey, California, United States",Executive Chief Product Officer at Yappa World Inc,SVP Product at Yappa World Inc,2006–2007,Project Management,"University of California, Riverside",552.0
San Francisco Bay Area,Head of Field Growth Marketing at Salesforce,Head of AMER Performance Marketing at Salesforce,"University of California, Riverside",Business Administration,"University of California, Riverside",553.0
Los Angeles Metropolitan Area,Associate Digital Director at Carat USA,Digital Supervisor at Carat USA,"University of California, Riverside","Biology, General","University of California, Riverside",554.0
"Santa Ana, California, United States",Studio Head at Obsidian Entertainment,President at Black Isle Studios,1990–1994,Bio-enginneering with AOCs in Sociology and History,"University of California, Riverside",555.0
"Las Cruces, New Mexico, United States",Founder and Senior Consultant - Grow/Greenhouse Systems Design/Development/Operation at Arid Group,Agricultural Operations Advisor at Preferred Produce,2003–2006,Agricultural and Biosystems Engineering,"University of California, Riverside",556.0
"Ladera Ranch, California, United States",CCO at Bimini Health Tech,Sales Associate at PacifiCord,2003–2008,Marketing,"University of California, Riverside",557.0
"Las Vegas, Nevada, United States",Director Of Operations at WELL CARE SERVICES BEHAVIORAL HEALTH AND MEDICAL CLINIC,General Manager at Well Care Pharmacy,"University of California, Riverside","Biomedical Sciences, General","University of California, Riverside",558.0
"Westminster, California, United States","Manufacturing Engineering Manager at Telesair, Inc","Manufacturing Engineering Manager at Viseon, Inc.",+ 2 more,"Biology, Chemistry, Biotechnology","University of California, Riverside",559.0
Greater Vancouver Metropolitan Area,Co-founder & CTO at Plastic Bank,Vice President at Nero Global Tracking,2007–2008,Business,"University of California, Riverside",560.0
Los Angeles Metropolitan Area,CEO at Stone Rose Management,Assistant Director at Grand Executive Management,"University of California, Riverside",International Business,"University of California, Riverside",561.0
"Los Angeles, California, United States",Chief Executive Officer at Mindful Integration of Construction Services,"Senior Manager, Community Engagement at Hathaway Dinwiddie",University of Southern California,Ross Minority Program in Real Estate,"University of California, Riverside",562.0
"Orange County, California, United States",Head Of Ecommerce at DIBS Beauty,"Digital Marketing Director at Luxury Brand Partners, LLC",2016–2018,Marketing,"University of California, Riverside",563.0
"San Diego, California, United States",eCommerce Project Manager at TaylorMade Golf Company,IT Project Manager at Provide Commerce,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside",564.0
"Buena Park, California, United States",Senior Software Engineer at Box,Full Stack Software / Infra Engineer (Data Platform Team) at Goldman Sachs,"University of California, Los Angeles",Computer Science,"University of California, Riverside",565.0
"Riyadh, Saudi Arabia",Chief Executive Officer at Altadrea | التدريع,Vice President at Al-Tadrea Manufacturing Company (TMC),2015–2018,,"University of California, Riverside",566.0
Los Angeles Metropolitan Area,Chief Executive Officer at Calibrated Healthcare Network LLC.,Chief Operating Officer at Network Medical Management,UCLA Anderson School of Management,Finance,"University of California, Riverside",567.0
"Palo Alto, California, United States",Senior Director Of Engineering at Gogo,Director Of Engineering at Gogo,UNC Kenan-Flagler Business School,Entrepreneurship/Entrepreneurial Studies,"University of California, Riverside",568.0
"Thousand Oaks, California, United States",Director of Technology and chief cable maker at Waterfield Technologies,Technical Consultant and acting CTO at Connectomix,1976–1981,Computer Science,"University of California, Riverside",569.0
Denver Metropolitan Area,Chief Operations Officer at Magnolia Medical Group,Executive Director - Practice Operations at SCL Health,California State University-San Bernardino,Business & Public Administration,"University of California, Riverside",570.0
"Riverside, California, United States",Chief Executive Officer at StarNav LLC,Doctoral Intern at The Aerospace Corporation,UC Irvine,Electrical Engineering,"University of California, Riverside",571.0
Los Angeles Metropolitan Area,President at Triad Magnetics,Sales Manager at Vitec Corporation,"University of California, Riverside",Administrative Studies,"University of California, Riverside",572.0
United States,CEO at Kids Atelier at KIDS ATELIER,Senior Principal Engineer at Western Digital,"University of California, Riverside",Electrical Engineering,"University of California, Riverside",573.0
Stockholm Metropolitan Area,CEO and Partner at ECI Media Management,Broadcast Director at MediaTaktik,1994–1997,Business Administration,"University of California, Riverside",574.0
"Santiago, Santiago Metropolitan Region, Chile",CEO at Jooycar - Connected Car Platform,Head Of Marketing at DIRECTV Chile,Pontificia Universidad Católica de Chile,"Business Administration and Management, General","University of California, Riverside",575.0
"Austin, Texas, United States",Founder & CEO at inclusve,Associate - Commercial Real Estate at CBRE,"University of California, Riverside",Political Science and Government,"University of California, Riverside",576.0
Singapore,Cofounder & COO at TradeTogether,Operations Leader & Partner at BLACAZ. I Your Global Insurance Partner,ESSEC Business School,Singapore,"University of California, Riverside",577.0
"São Paulo, São Paulo, Brazil",Chief Executive Officer at Awake,Marketing Director Brasil  at Mercado Livre Brasil,INSEAD,Civil Engineering,"University of California, Riverside",578.0
"Redondo Beach, California, United States","CEO, Co-Founder at P1 Technologies",Sr. Account Executive at Data Domain,1990–1995,,"University of California, Riverside",579.0
"Beaverton, Oregon, United States","VP, Engineering at Cvent","VP Software Development at Wolters Kluwer, Tax & Accounting US","University of California, Riverside",Computer Science,"University of California, Riverside",580.0
"Los Angeles, California, United States",Chief Executive Officer at FreeFuse Inc.,Graduate Teaching Assistant at Texas A&M University,Texas A&M University,Materials Science and Engineering,"University of California, Riverside",581.0
Greater Orlando,"Director, Battery Cell Engineering at Techtronic Industries - TTI","Manager, Battery Cell Development at A123 Systems","University of California, Riverside","Chemistry, Inorganic Materials","University of California, Riverside",582.0
Los Angeles Metropolitan Area,CEO at Evite,Executive Chairman at Evite,University of Southern California - Marshall School of Business,Business Administration,"University of California, Riverside",583.0
Los Angeles Metropolitan Area,Director of Ecommerce and Business Intelligence at Henkel,Sr. Ecommerce Manager at Henkel,"University of California, Riverside",Political Science,"University of California, Riverside",584.0
Los Angeles Metropolitan Area,"Director, Digital Experience | Attractions & Entertainment at Disney Parks & Resorts Digital","Manager, Digital Experiences | Attractions & Entertainment at Disney Parks & Resorts Digital",1997–2000,Management Information Systems,"University of California, Riverside",585.0
"Houston, Texas, United States",Director of Product at East Side Games,Director Of Growth Marketing at Play2Pay™,"University of California, Riverside",,"University of California, Riverside",586.0
"Santa Monica, California, United States",Founder at Ink Cloud,COO/CFO at GR Print,1998–2003,Computer Science & Engineering,"University of California, Riverside",587.0
Los Angeles Metropolitan Area,Operations Manager at TCI Companies,,"University of California, Riverside","Logistics, Materials, and Supply Chain Management","University of California, Riverside",588.0
"Alameda, California, United States","Engineering manager, Infrastructure at Meta",Director of Engineering at Pure Storage,"University of California, Berkeley",CS,"University of California, Riverside",589.0
"Orange County, California, United States","Sr. Vice President, Planning Operations at Superior Communications","Vice President, Planning Operations at Superior Communications","University of California, Riverside",Business Economics,"University of California, Riverside",590.0
"San Jose, California, United States",Chief Executive Officer at CodeFutures,Social Media Manager at Dremio,"University of California, Riverside",Mechanical Engineering,"University of California, Riverside",591.0
"Huntington Beach, California, United States",Partner at BooyaDirect.com,"Managing Member at Pizza Lounge, LLC","University of California, Riverside",Political Science,"University of California, Riverside",592.0
"Tokyo, Tokyo, Japan",Digital Leader - Digital Development at SUMITOMO MITSUI FINANCE AND LEASING COMPANY LIMITED,IT Manager - Digital Innovation Lab at SMFL Capital,"University of California, Riverside","Business, Information Management","University of California, Riverside",593.0
"Los Angeles, California, United States","Manager - Information Security Assurance at BDO USA, LLP","Manager, IT Risk & Compliance  at Public Storage","University of California, Irvine - The Paul Merage School of Business",Accounting,"University of California, Riverside",594.0
"Los Angeles, California, United States",Senior Software Engineering Manager at FloQast,Software Engineering Manager at FloQast,"University of California, Riverside",Computer Engineering,"University of California, Riverside",595.0
"Palo Alto, California, United States",VP of Technology and Engineering at Inceptio,VP Technical at FutureWei Technologies,"University of California, Riverside",Computer Science,"University of California, Riverside",596.0
Los Angeles Metropolitan Area,Digital Marketing Coordinator - eCommerce  at Worldwide Golf Enterprises,Marketing Coordinator at Yuji America Corp.,"University of California, Riverside",Political Science,"University of California, Riverside",597.0
Los Angeles Metropolitan Area,Managing Partner at Valiant Law,"Partner/Senior Counsel/Associate at Wood, Smith, Henning & Berman LLP","Chapman University, School of Law",,"University of California, Riverside",598.0
"Beaverton, Oregon, United States",Chief Sales Officer at The Presentation Company,Chief Operating Officer at The Presentation Company,"University of California, Riverside",Sociology and Administrative Studies,"University of California, Riverside",599.0
"Los Angeles, California, United States",Global Head of Finance at OKCoin,Global Consolidation Accounting Manager at Coinbase,"University of California, Riverside",Business Administration; Financial Accounting,"University of California, Riverside",600.0
"Highland, California, United States",Operations Manager at Target,"Operation Supervisor at Lowe's Companies, Inc.","University of California, Riverside",,"University of California, Riverside",601.0
Los Angeles Metropolitan Area,IT Analyst at Kitchen United,"Information Technology Business Analyst II at Blaze Pizza, LLC",Thinkful,Data Analytics Flex Program,"University of California, Riverside",602.0
Greater Chicago Area,Head of MSAT (ad-interim) at Novartis Gene Therapies,Associate Director of Manufacturing at Novartis Gene Therapies,"University of California, Riverside","Biological Sciences, Emphasis in Medical Biology","University of California, Riverside",603.0
