current_location,current_work,previous_work,latest_Education,major,search_school,current_company,previous_company,current_company_industry,previous_company_industry,current_NAICS,previous_NAICS,current_NAICS_title,current_avg_salary,previous_NAICS_title,latitude,longitude,state,county,city,fips
" Fayetteville, AR ",Principal Solutions Architect at Veracode,"Manager, Solutions Architecture, SE, & Security Advisor at RiskRecon, a MasterCard company at RiskRecon","University of California, Riverside",English,"University of California, Riverside",Veracode,RiskRecon,561621 Security system monitoring services,"541511 Web (i.e., Internet) page design services, custom",56,54,Administrative and Support and Waste Management and Remediation Services,64366.438,"Professional, Scientific, and Technical Services",36.062584,-94.157433,Arkansas,Washington,Fayetteville,05143
"Chicago, Illinois, United States",Chief Executive Officer at Early Autism Services,Chief Operations Officer at Comprehensive Early Autism Services,Florida Institute of Technology,Applied Behavior Analysis,"University of California, Riverside",Early Autism Services,Comprehensive Early Autism Services,621610 Visiting nurse associations,,62,,Health Care and Social Assistance,76373.049,,41.875562,-87.624421,Illinois,Cook,Chicago,17031
"Los Angeles, California, United States",Director Of Engineering at Narvar,CTO & Co-Founder at Behold,"University of California, Riverside",Sociology,"University of California, Riverside",Narvar,Behold,"541512 Systems integration design services, computer","337122 Water bed frames, wood, manufacturing",54,31-33,"Professional, Scientific, and Technical Services",77645.346,Manufacturing,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
Los Angeles  ,Senior E-commerce Buyer at Hurley,Omnichannel Buyer at Diesel,"University of California, Riverside",,"University of California, Riverside",Hurley,Diesel,622110 Osteopathic hospitals,423830 Woodworking machinery merchant wholesalers,62,42,Health Care and Social Assistance,76373.049,Wholesale Trade,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
South Korea,"Chief Technology Officer / R&D Director at Rexellbio Co., Ltd",President / Director at Pharmaceutical Technology Foundation / LORDS,"University of California, Riverside",Molecular Genetics,"University of California, Riverside","Rexellbio Co., Ltd",Pharmaceutical Technology Foundation / LORDS,,,,,,,,36.638392,127.696119,,,,nan
"San Clemente, California, United States",Chief Executive Officer at Sunset West Outdoor Furnishings,Owner at Sunset West Outdoor,2020–2021,Business Administration,"University of California, Riverside",Sunset West Outdoor Furnishings,Sunset West Outdoor,,,,,,,,33.427028,-117.612418,California,Orange,San Clemente,06059
San Francisco Bay ,Chief Marketing Officer at Cequence Security,Chief Marketing Officer at Feedzai,"University of California, Berkeley",Marketing,"University of California, Riverside",Cequence Security,Feedzai,,518210 Web hosting,,51,,,Information,37.714029,-122.307794,California,San Mateo,,06081
"Pomona, California, United States","President & Chief Executive Officer at Innex, Inc.",Credit Manager at Wells Fargo Financial,1998–2002,Business Administration,"University of California, Riverside","Innex, Inc.",Wells Fargo Financial,"423920 Vehicles, children's (except bicycles), merchant wholesalers",522110 State commercial banks,42,52,Wholesale Trade,68623.359,Finance and Insurance,34.055381,-117.75175,California,Los Angeles,Pomona,06037
Denver  ,"Director, Software Engineering at AppColl, Inc.",Director of Web Development at HealthGrades,"University of California, Riverside",Computer Science,"University of California, Riverside","AppColl, Inc.",HealthGrades,,,,,,,,39.739236,-104.984862,Colorado,,Denver,08031
"Edinburgh, Scotland, United Kingdom","Director, Global Data Science at Skyscanner",Head of Data Science and Matching at Grindr,"University of California, Riverside","Psychology, Statistics","University of California, Riverside",Skyscanner,Grindr,561510 Travel agencies,"541511 Web (i.e., Internet) page design services, custom",56,54,Administrative and Support and Waste Management and Remediation Services,64366.438,"Professional, Scientific, and Technical Services",55.953346,-3.188375,Alba / Scotland,City of,Edinburgh,nan
"Moreno Valley, California, United States",Director of Marketing at Moss Bros Auto Group,Board of Directors at California Riverside Ballet,1995–2000,Economics; Business,"University of California, Riverside",Moss Bros Auto Group,California Riverside Ballet,,,,,,,,33.937517,-117.230594,California,Riverside,Moreno Valley,06065
"El Segundo, California, United States",Digital Marketing Manager at SmartAction,Marketing Specialist at SmartAction,"University of California, Riverside",Marketing,"University of California, Riverside",SmartAction,SmartAction,,,,,,,,33.917028,-118.415634,California,Los Angeles,,06037
"Orange County, California, United States","Director, Professional Marketing at AbbVie","Director, Physician Training & Professional Education at JenaValve Technology, Inc.",Cornell University,High Performance Leadership Certificate,"University of California, Riverside",AbbVie,"JenaValve Technology, Inc.",325414 Virus vaccines manufacturing,"334510 Ultrasonic scanning devices, medical, manufacturing",31-33,31-33,Manufacturing,69174.562,Manufacturing,33.750038,-117.870493,California,Orange,,06059
"Oceanside, California, United States",President at Thomson Instrument Company,,"University of California, Riverside",Chemistry,"University of California, Riverside",Thomson Instrument Company,,,,,,,,,33.19587,-117.379483,California,San Diego,Oceanside,06073
Los Angeles  ,West Coast Operations Lead at Heal,Operations Coordinator at Heal,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside",Heal,Heal,622110 Osteopathic hospitals,622110 Osteopathic hospitals,62,62,Health Care and Social Assistance,76373.049,Health Care and Social Assistance,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Los Angeles County, California, United States",Engineering Manager at Beyond Limits,Senior Director of Software Development at Mathnasium - The Math Learning Center,California State University-Northridge,Computer Science,"University of California, Riverside",Beyond Limits,Mathnasium - The Math Learning Center,"541512 Systems integration design services, computer",,54,,"Professional, Scientific, and Technical Services",77645.346,,34.315507,-118.209681,California,Los Angeles,,06037
United States,Portforlio Operations Director at AvalonBay Communities,General Manager at AvalonBay Communities,California State University-Northridge,"Communication, Journalism, and Related Programs","University of California, Riverside",AvalonBay Communities,AvalonBay Communities,531110 Town house rental or leasing,531110 Town house rental or leasing,53,53,Real Estate and Rental and Leasing,60268.137,Real Estate and Rental and Leasing,39.78373,-100.445882,,,,nan
"Anaheim, California, United States",Chief People Officer at American Advisors Group,"Senior Vice President, Human Resources  at American Advisors Group",2002–2004,HR Certificate,"University of California, Riverside",American Advisors Group,American Advisors Group,,"523930 Investment advisory services, customized, fees paid by client",,52,,,Finance and Insurance,33.834752,-117.911732,California,Orange,Anaheim,06059
"Riverside, California, United States",Procurement and Planning Manager at Taylor Farms,"Master Scheduler, Commercial Manager, at Index Fresh Inc",2002–2004,"Logistics, Materials, and Supply Chain Management","University of California, Riverside",Taylor Farms,Index Fresh Inc,111998 Tea farming,311999 Yeast manufacturing,11,31-33,"Agriculture, Forestry, Fishing and Hunting",47880.873,Manufacturing,33.945941,-117.410244,California,Riverside,Riverside,06065
"Hessisch Oldendorf, Lower Saxony, Germany",Global Operations at Yuanda Robotics GmbH,Head of Global Industrial Engineering at Lenze,"International School of Management, Germany",General Management,"University of California, Riverside",Yuanda Robotics GmbH,Lenze,,541330 Traffic engineering consulting services,,54,,,"Professional, Scientific, and Technical Services",52.169838,9.250653,Niedersachsen,Landkreis,,nan
Los Angeles  ,Head of Consumer and Digital Marketing at Revance,"Senior Director Of Marketing at Revance Therapeutics, Inc.",+ 1 more,Communication and Media Studies,"University of California, Riverside",Revance,"Revance Therapeutics, Inc.",325412 Zinc oxide medicinal preparations manufacturing,325412 Zinc oxide medicinal preparations manufacturing,31-33,31-33,Manufacturing,69174.562,Manufacturing,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
United States,Director of People Operations at UserZoom,"Human Resources Director at Versity Investments, LLC","University of California, Riverside",Business Administration,"University of California, Riverside",UserZoom,"Versity Investments, LLC","541511 Web (i.e., Internet) page design services, custom",523120 Stock options brokerages,54,52,"Professional, Scientific, and Technical Services",77645.346,Finance and Insurance,39.78373,-100.445882,,,,nan
"São Paulo, São Paulo, Brazil",Trade Marketing Director at ViacomCBS,LABS & Planning Director at Viacom,Universidade de São Paulo,Philosophy (not finished),"University of California, Riverside",ViacomCBS,Viacom,511130 University press publishers (except exclusive Internet publishing),512110 Video production and distribution,51,51,Information,73855.595,Information,-23.550651,-46.633382,São Paulo,Região Metropolitana de São,São Paulo,nan
United States,Media Director at DWA,Associate Media Director at Godfrey Dadich Partners,"University of California, Riverside","Business Administration and Management, Marketing","University of California, Riverside",DWA,Godfrey Dadich Partners,512110 Video production and distribution,541810 Advertising agency consulting services,51,54,Information,73855.595,"Professional, Scientific, and Technical Services",39.78373,-100.445882,,,,nan
"San Diego County, California, United States",Owner/Founder at K2 Staffing,Managing Partner at Everest Recruiting,1997–1999,Health Services Administration,"University of California, Riverside",K2 Staffing,Everest Recruiting,,,,,,,,32.963784,-116.770628,California,San Diego,,06073
"Orange, California, United States","Chief Financial Officer at Anchored Prints, Inc",Partner at Reilly Strategic Consulting,1974–1978,Finance,"University of California, Riverside","Anchored Prints, Inc",Reilly Strategic Consulting,323111 Yearbooks commercial printing (except screen) without publishing,,31-33,,Manufacturing,69174.562,,33.750038,-117.870493,California,Orange,,06059
"Menifee, California, United States","IT Director at Bourns, Inc.","IT Infrastructure and Technical Services at Bourns, Inc.",Keller Graduate School of Management of DeVry University,,"University of California, Riverside","Bourns, Inc.","Bourns, Inc.",335931 Terminals and connectors for electrical devices manufacturing,335931 Terminals and connectors for electrical devices manufacturing,31-33,31-33,Manufacturing,69174.562,Manufacturing,33.686443,-117.177044,California,Riverside,,06065
,"ADVISOR, MARKETING EVENT MANAGEMENT at Dell Technologies","DIRECTOR OF EVENTS at Illuminate Education, Inc.",Keller Graduate School of Management,Certificate in Human Resources Management,"University of California, Riverside",Dell Technologies,"Illuminate Education, Inc.","511210 Utility software, computer, packaged","511210 Utility software, computer, packaged",51,51,Information,73855.595,Information,,,,,,nan
Los Angeles  ,"Head Of Finance at GoVyrl, Inc. (Carro)",Corporate Controller at Restaurant365,UCLA Anderson School of Management,Entrepreneurship/Entrepreneurial Studies,"University of California, Riverside","GoVyrl, Inc. (Carro)",Restaurant365,,"722511 Steak houses, full service",,72,,,Accommodation and Food Services,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
,Analytic Coordinator at Tinuiti,Client Operations Analyst  at Tinuiti,"University of California, Irvine - The Paul Merage School of Business",Statistics,"University of California, Riverside",Tinuiti,Tinuiti,541810 Advertising agency consulting services,541810 Advertising agency consulting services,54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",,,,,,nan
"Scottsdale, Arizona, United States","Sr. Manager,  Cloud Solution Engineering at T-Mobile","National Sales Manager, WPaaS at Sprint",1994–1998,Business,"University of California, Riverside",T-Mobile,Sprint,517312,,51,,Information,73855.595,,33.494219,-111.926018,Arizona,Maricopa,Scottsdale,04013
"San Clemente, California, United States","Information Technology Manager at ACES (Comprehensive Educational Services, Inc.)",IT Support Manager at V.I. Experts (MSP),"University of California, Riverside",Psychology,"University of California, Riverside","ACES (Comprehensive Educational Services, Inc.)",V.I. Experts (MSP),,,,,,,,33.427028,-117.612418,California,Orange,San Clemente,06059
"Los Angeles, California, United States",Director of Product Development at 505 Games,Senior Producer at 505 Games,"University of California, Riverside",Environmental Sciences,"University of California, Riverside",505 Games,505 Games,454110,454110,44-45,44-45,Retail Trade,56013.266,Retail Trade,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Boulder, Colorado, United States",Chief Development at SomaLogic,Chief Development & Operations at SomaLogic,1995–2001,Molecular Biology,"University of California, Riverside",SomaLogic,SomaLogic,621511 Urinalysis laboratories,621511 Urinalysis laboratories,62,62,Health Care and Social Assistance,76373.049,Health Care and Social Assistance,40.014986,-105.270545,Colorado,Boulder,Boulder,08013
San Francisco Bay ,Growth Marketing Manager - Paid Search at Lemonaid Health,Search Engine Marketing - Performance Analyst at Frequence,"University of California, Riverside",Economics/Administrative Studies,"University of California, Riverside",Lemonaid Health,Frequence,"511210 Utility software, computer, packaged","813930 Unions (except apprenticeship programs), labor",51,81,Information,73855.595,Other Services (except Public Administration),37.714029,-122.307794,California,San Mateo,,06081
 Boston,"Executive Medical Director, Neurodegeneration Development Unit, Head of Movement Disorders at Biogen","Senior Medical Director, Neurodegeneration Development Unit, Head of Movement Disorders at Biogen","University of California, Los Angeles",Biomedical Sciences,"University of California, Riverside",Biogen,Biogen,541715,541715,54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025
 Sacramento,"Senior Vice President, Practice Strategy at Shift Paradigm",Packaged Services Practice Lead  at LeadMD,Education (same page),,"University of California, Riverside",Shift Paradigm,LeadMD,,541613 Sales management consulting services,,54,,,"Professional, Scientific, and Technical Services",38.581061,-121.493895,California,Sacramento,Sacramento,06067
"Cholet, Pays de la Loire, France",Responsable marketing digital at Nature et Stratégie,Chef produits univers maison at COMPTOIR DES LYS,ISEG Lille,MANAGEMENT INTERNATIONAL,"University of California, Riverside",Nature et Stratégie,COMPTOIR DES LYS,,,,,,,,47.061729,-0.880135,Pays de la Loire,Maine-et-Loire,,nan
 Melbourne ,Strategy Director at SEEK,Non Executive Director at Digitary,Australian Graduate School of Management,MBA,"University of California, Riverside",SEEK,Digitary,551112 Public utility holding companies,,55,,Management of Companies and Enterprises,82055.219,,-37.814218,144.963161,Victoria,,Melbourne,nan
"Carlsbad, California, United States",Manufacturing Engineer at MachineTek LLC,Quality Engineer at MachineTek LLC,"University of California, Riverside",Design and Manufacturing,"University of California, Riverside",MachineTek LLC,MachineTek LLC,"336413 Universal joints, aircraft, manufacturing","336413 Universal joints, aircraft, manufacturing",31-33,31-33,Manufacturing,69174.562,Manufacturing,33.158093,-117.350597,California,San Diego,Carlsbad,06073
San Francisco Bay ,Director of Marketing (Head of Marketing) at Bellwether Coffee,Vice President Marketing at Stockwell,UC Berkeley,,"University of California, Riverside",Bellwether Coffee,Stockwell,722513 Take out eating places,237210 Subdividing real estate,72,23,Accommodation and Food Services,44945.819,Construction,37.714029,-122.307794,California,San Mateo,,06081
Los Angeles  ,IT Project Manager at Cathay Bank,Associate Project Manager at Citizens Business Bank,"University of California, Riverside",Comparative Literature and Linguistics,"University of California, Riverside",Cathay Bank,Citizens Business Bank,522110 State commercial banks,522110 State commercial banks,52,52,Finance and Insurance,80163.492,Finance and Insurance,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Mission Viejo, California, United States",Head of Product at Krush Media Group,Co-Founder - CMO | Seen On Shark Tank at Bouquetbar.com,Education (same page),,"University of California, Riverside",Krush Media Group,Bouquetbar.com,,,,,,,,33.596568,-117.659405,California,Orange,Mission Viejo,06059
"Trabuco Canyon, California, United States",2 yrs 10 mos,"Financial Advisor at Bancwest Investment Services, Inc.",1995–1997,Political Science,"University of California, Riverside",2 yrs 10 mos,"Bancwest Investment Services, Inc.",,,,,,,,33.662623,-117.58938,California,Orange,,06059
"Kimberly, Idaho, United States",Regional Operations Manager at Senergy Petroleum,Senior Operations Manager at Pilot Thomas Logistics,"University of California, Riverside",Economics,"University of California, Riverside",Senergy Petroleum,Pilot Thomas Logistics,"424720 Petroleum and petroleum products merchant wholesalers (except bulk stations, terminals)",325998 Writing inks manufacturing,42,31-33,Wholesale Trade,68623.359,Manufacturing,42.533802,-114.364756,Idaho,Twin Falls,,16083
San Francisco Bay ,Growth Marketing Manager at Owlet Baby Care,Paid Media Specialist at Dropbox,"University of California, Riverside",Marketing,"University of California, Riverside",Owlet Baby Care,Dropbox,334519 Wind direction indicators manufacturing,"511210 Utility software, computer, packaged",31-33,51,Manufacturing,69174.562,Information,37.714029,-122.307794,California,San Mateo,,06081
"Irvine, California, United States","Global Head of Human Resources, CSS at Johnson & Johnson","Head of Human Resources, Supply Chain U.S. & Puerto Rico at Johnson & Johnson",+ 1 more,,"University of California, Riverside",Johnson & Johnson,Johnson & Johnson,"423450 X-ray machines and parts, medical and dental, merchant wholesalers","423450 X-ray machines and parts, medical and dental, merchant wholesalers",42,42,Wholesale Trade,68623.359,Wholesale Trade,33.685697,-117.825982,California,Orange,Irvine,06059
Los Angeles  ,"Project Manager, Ops Innovation at Jack in the Box",Digital Specialist at Qdoba Restaurant Corporation,"University of California, Riverside",Marketing,"University of California, Riverside",Jack in the Box,Qdoba Restaurant Corporation,722513 Take out eating places,533110 Trademark licensing,72,53,Accommodation and Food Services,44945.819,Real Estate and Rental and Leasing,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
,Data Scientist at Oculus VR,Data Scientist at AIG,"University of California, Irvine - The Paul Merage School of Business",Business Analytics - Data Science Track,"University of California, Riverside",Oculus VR,AIG,,524126 Workers' compensation insurance underwriting,,52,,,Finance and Insurance,,,,,,nan
"San Diego, California, United States","Director of Product Marketing at Q'Apel Medical, Inc.","Senior Marketing Manager at Q'Apel Medical, Inc.","University of California, Riverside",Biomedical/Medical Engineering,"University of California, Riverside","Q'Apel Medical, Inc.","Q'Apel Medical, Inc.",621610 Visiting nurse associations,621610 Visiting nurse associations,62,62,Health Care and Social Assistance,76373.049,Health Care and Social Assistance,32.71742,-117.162773,California,San Diego,San Diego,06073
San Francisco Bay ,Founder at Autonomy Insight,Co-founder at Evercurrent (Acquired),"University of California, Riverside",Computer Science,"University of California, Riverside",Autonomy Insight,Evercurrent (Acquired),,,,,,,,37.714029,-122.307794,California,San Mateo,,06081
"San Diego, California, United States",CEO at Go Green Agriculture,,"University of California, San Diego - Rady School of Management",Business Administration,"University of California, Riverside",Go Green Agriculture,,111998 Tea farming,,11,,"Agriculture, Forestry, Fishing and Hunting",47880.873,,32.71742,-117.162773,California,San Diego,San Diego,06073
Los Angeles  ,Marketing Manager at Unibail-Rodamco-Westfield,Marketing Associate at Unibail-Rodamco-Westfield,UC San Diego,"Visual Arts (Studio), Minor: Theatre (Costume Design)","University of California, Riverside",Unibail-Rodamco-Westfield,Unibail-Rodamco-Westfield,237210 Subdividing real estate,237210 Subdividing real estate,23,23,Construction,64648.972,Construction,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"South San Francisco, California, United States","Senior Manager, Corporate Charitable Giving at Genentech","Senior Business Lead, Genentech Access To Care Foundation at Genentech",1992–1996,,"University of California, Riverside",Genentech,Genentech,325412 Zinc oxide medicinal preparations manufacturing,325412 Zinc oxide medicinal preparations manufacturing,31-33,31-33,Manufacturing,69174.562,Manufacturing,37.65354,-122.416866,California,San Mateo,South San Francisco,06081
"San Diego County, California, United States",Marketing Operations Manager at Crownpeak,Marketing Automation Manager at iMatrix,"University of California, Riverside",Studio Art,"University of California, Riverside",Crownpeak,iMatrix,"541511 Web (i.e., Internet) page design services, custom","511210 Utility software, computer, packaged",54,51,"Professional, Scientific, and Technical Services",77645.346,Information,32.963784,-116.770628,California,San Diego,,06073
Los Angeles  ,"Vice President Asset Management at Cabot Properties, Inc.",Assistant Vice President at AEW,2004–2008,Business Economics,"University of California, Riverside","Cabot Properties, Inc.",AEW,531110 Town house rental or leasing,221122 Electric power distribution systems,53,22,Real Estate and Rental and Leasing,60268.137,Utilities,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
Los Angeles  ,Digital Assistant at A3 Artists Agency,Social Media Coordinator at Mammoth Media,"University of California, Riverside",Psychology; Marketing Minor,"University of California, Riverside",A3 Artists Agency,Mammoth Media,,"511110 Publishers, newspaper, combined with printing",,51,,,Information,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Upland, California, United States",Senior Product Development Manager at FAM Brands,Senior Product Development Manager at Pacific Sunwear,Brooks College,Fashion/Apparel Design,"University of California, Riverside",FAM Brands,Pacific Sunwear,,448190 Uniform stores (except athletic),,44-45,,,Retail Trade,34.09751,-117.648388,California,San Bernardino,,06071
"Los Angeles, California, United States",Data Scientist II at The Trade Desk,Data Science & Analytics Lead at Engage3,"University of California, Riverside",Engineering (Data Science),"University of California, Riverside",The Trade Desk,Engage3,"511210 Utility software, computer, packaged",,51,,Information,73855.595,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Fremont, California, United States","Owner, Physical Therapist at Rapid Recovery Physical Therapy",Physical Therapist at On Lok,2008–2011,Physical Therapy,"University of California, Riverside",Rapid Recovery Physical Therapy,On Lok,,999990,,99,,,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OEWS Designation)",37.54827,-121.988571,California,Alameda,Fremont,06001
Los Angeles  ,Chief Marketing Officer at Food Haven Technologies Inc.,Digital Marketing Manager at Clearstone Capital Partners,"University of California, Riverside","Business Administration, Marketing","University of California, Riverside",Food Haven Technologies Inc.,Clearstone Capital Partners,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
Los Angeles  ,Paid Search Analyst at RPA,Paid Search Coordinator at RPA,"University of California, Riverside",Business Administration,"University of California, Riverside",RPA,RPA,"221118 Power generation, tidal electric","221118 Power generation, tidal electric",22,22,Utilities,84207.831,Utilities,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
,Technical Recruiter at VIZIO,Technical Recruiter - DevOps at TEKsystems,"University of California, Riverside",Psychology,"University of California, Riverside",VIZIO,TEKsystems,999990,561320 Temporary staffing services,99,56,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OEWS Designation)",69671.738,Administrative and Support and Waste Management and Remediation Services,,,,,,nan
"Charlotte, North Carolina, United States","Manager, Data Analytics, Data Science, and Master Data at SPX FLOW, Inc.","Data Science Manager at SPX FLOW, Inc.","University of California, Riverside",Cognitive Psychology (Experimental),"University of California, Riverside","SPX FLOW, Inc.","SPX FLOW, Inc.",332911 Waterworks and municipal water system valves manufacturing,332911 Waterworks and municipal water system valves manufacturing,31-33,31-33,Manufacturing,69174.562,Manufacturing,35.227209,-80.843083,North Carolina,Mecklenburg,Charlotte,37119
"Murrieta, California, United States","Vice President of Business Development/Partner at Golden State RX Partners, LLC","CEO/Principal at California Independent Pharmacies, inc.","Midwestern University College of Pharmacy, Glendale","Biomedical Sciences, General","University of California, Riverside","Golden State RX Partners, LLC","California Independent Pharmacies, inc.",,,,,,,,33.577752,-117.188454,California,Riverside,Murrieta,06065
"San Bruno, California, United States","Program Manager, Benefits  at Airbnb","Sr. Analyst, HR & Benefits  at Airbnb","University of California, Riverside",Human Resource Management,"University of California, Riverside",Airbnb,Airbnb,"561599 Time share exchange services, condominium","561599 Time share exchange services, condominium",56,56,Administrative and Support and Waste Management and Remediation Services,64366.438,Administrative and Support and Waste Management and Remediation Services,37.626172,-122.433244,California,San Mateo,,06081
"Orange County, California, United States",Regional Recruiter at FPI Management,Recruiter at CNM LLP,UC Riverside,Sociology,"University of California, Riverside",FPI Management,CNM LLP,999990,"541211 Public accountants' (CPAs) private practices, certified",99,54,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OEWS Designation)",69671.738,"Professional, Scientific, and Technical Services",33.750038,-117.870493,California,Orange,,06059
Los Angeles  ,"Medical Director at Ocular Therapeutix, Inc.","Optometrist at Redwood Sage, PC",Southern California College of Optometry,Doctor of Optometry,"University of California, Riverside","Ocular Therapeutix, Inc.","Redwood Sage, PC",325412 Zinc oxide medicinal preparations manufacturing,,31-33,,Manufacturing,69174.562,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Natick, Massachusetts, United States",Senior Scientist at Kula Bio,Scientist/Director Systems Integration at Biotech,"University of California, Riverside",Bioengineering,"University of California, Riverside",Kula Bio,Biotech,,424210 Vitamins merchant wholesalers,,42,,,Wholesale Trade,42.283639,-71.346996,Massachusetts,Middlesex,,25017
"Santa Clara, California, United States",Staff Cell Engineer at Tesla,Staff Cell Test Engineer at Tesla,2011–2016,Materials Science,"University of California, Riverside",Tesla,Tesla,334413 Wafers (semiconductor devices) manufacturing,334413 Wafers (semiconductor devices) manufacturing,31-33,31-33,Manufacturing,69174.562,Manufacturing,37.233325,-121.684635,California,Santa Clara,,06085
Los Angeles  ,"Account Executive, Enterprise Services & Solutions at Canon Solutions America",Medical Sales Representative at Lincare,"University of California, Riverside",Asian American Studies travel study program,"University of California, Riverside",Canon Solutions America,Lincare,561990 Trading stamp redemption services,"621498 Sleep disorder centers and clinics, outpatient",56,62,Administrative and Support and Waste Management and Remediation Services,64366.438,Health Care and Social Assistance,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Riverside, California, United States",Senior Program/Project Manager at Southern California Edison (SCE),Program/Project Manager at Southern California Edison (SCE),2004–2008,Environmental Science: Social Science,"University of California, Riverside",Southern California Edison (SCE),Southern California Edison (SCE),,,,,,,,33.945941,-117.410244,California,Riverside,Riverside,06065
United States,"Global Senior Manager - Information Security, Compliance at HireRight",Manager of Product Solutions at AuditBoard,"University of California, Riverside",Accounting & Human Resource Management,"University of California, Riverside",HireRight,AuditBoard,519190 Title search services (except real estate),"541511 Web (i.e., Internet) page design services, custom",51,54,Information,73855.595,"Professional, Scientific, and Technical Services",39.78373,-100.445882,,,,nan
"Jalisco, Mexico",Director Resource Management and Vendor Management  at BORN Group,Global Resource Manager LATAM at NTT DATA Services,"University of California, Riverside",,"University of California, Riverside",BORN Group,NTT DATA Services,541611 Strategic planning consulting services,"541512 Systems integration design services, computer",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",20.333333,-103.666667,Jalisco,,,nan
"Orange County, California, United States","Director, Production and Logistics at Mission Microwave Technologies",General Manager at Black Falcon US LTD,UC San Diego Extension,Business Intelligence Analysis,"University of California, Riverside",Mission Microwave Technologies,Black Falcon US LTD,"334220 Video camera (except household-type, television broadcast) manufacturing",,31-33,,Manufacturing,69174.562,,33.750038,-117.870493,California,Orange,,06059
Los Angeles  ,Assistant Superintendent at Santa Ana Unified School District,"Director, Maintnenance & Operations at RIVERSIDE UNIFIED SCHOOL DISTRICT",California State Polytechnic University-Pomona,Architecture,"University of California, Riverside",Santa Ana Unified School District,RIVERSIDE UNIFIED SCHOOL DISTRICT,,"611110 Seminaries, below university grade",,61,,,Educational Services,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
,"Senior Human Resources Generalist at NZXT, Inc.",Human Resources Generalist at Compex Legal Services,"University of California, Riverside","Business Administration, Marketing","University of California, Riverside","NZXT, Inc.",Compex Legal Services,"541512 Systems integration design services, computer",323111 Yearbooks commercial printing (except screen) without publishing,54,31-33,"Professional, Scientific, and Technical Services",77645.346,Manufacturing,,,,,,nan
"Irvine, California, United States",Director of Supervision at Lincoln Financial Group,Director of Compliance Oversight at Lincoln Financial Group,University of Southern California - Marshall School of Business,Finance,"University of California, Riverside",Lincoln Financial Group,Lincoln Financial Group,"523930 Investment advisory services, customized, fees paid by client","523930 Investment advisory services, customized, fees paid by client",52,52,Finance and Insurance,80163.492,Finance and Insurance,33.685697,-117.825982,California,Orange,Irvine,06059
"Boston, Massachusetts, United States",Board Of Directors at ISPOR—The Professional Society for Health Economics and Outcomes Research,Editor-in-Chief at ISPOR - Value & Outcomes Spotlight,University of Massachusetts Amherst,Economics,"University of California, Riverside",ISPOR—The Professional Society for Health Economics and Outcomes Research,ISPOR - Value & Outcomes Spotlight,,,,,,,,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025
"Rancho Cucamonga, California, United States",Human Resources Generalist at BBSI,"Human Resources Specialist at West Coast Construction Services, Inc.","University of California, Riverside",Business Administration,"University of California, Riverside",BBSI,"West Coast Construction Services, Inc.",561311 Theatrical employment agencies,,56,,Administrative and Support and Waste Management and Remediation Services,64366.438,,34.127927,-117.564322,California,San Bernardino,Rancho Cucamonga,06071
"San Francisco, California, United States",Sales Lead at Accredd.com,Account Executive at Optimizely,The Odin Project,Web Development,"University of California, Riverside",Accredd.com,Optimizely,,"541511 Web (i.e., Internet) page design services, custom",,54,,,"Professional, Scientific, and Technical Services",37.779026,-122.419906,California,,San Francisco,06075
"Hollister, California, United States",Marketing and Communications Manager at Hispanic Foundation of Silicon Valley,Community Coordinator at CMAP TV,"University of California, Riverside","Marketing/Marketing Management, General","University of California, Riverside",Hispanic Foundation of Silicon Valley,CMAP TV,,,,,,,,36.852454,-121.401602,California,San Benito,,06069
