,current_location,current_work,previous_work,latest_Education,major,search_school
1849,"San Rafael, California, United States",FOUNDER AND OWNER at rockflowerpaper,Owner at Mulberry Neckwear,1976–1980,International Relations,Brown University
1850,"Irvine, California, United States",EVP Regional Chief Banking Officer at Hanmi Bank,SVP Corporate Banking Manager at Hanmi Bank,1996–2000,Business Economics,Brown University
1851,"Austin, Texas Metropolitan Area",Chief Revenue Officer (CRO) at YouAttest,Managing Partner at Kinetic Capital Partners,University of Arizona,Business with emphasis in MIS / Humanities / Creative Writing,Brown University
1852,"Los Angeles, California, United States",Board Member at Upcycled Food Association,"Produce Merchant, Sustainability & New Initiatives  at FreshDirect",Brown University,Food Studies,Brown University
1853,"Denver, Colorado, United States",President/Owner at Occasions Catering of Denver,Special Assistant to the Mayor at City and County of Denver,1998–1999,Business,Brown University
1854,Washington DC-Baltimore Area,"Owner at Jill Sorenson Enterprises, LLC",Anchor and Capitals Beat Reporter at Comcast SportsNet Mid-Atlantic,Education (same page),,Brown University
1855,Greater Boston,Cyber Advisor | CEO at StopAHack.com™,CEO | CIO | CISO at StopAHack.com™,Brown University,Cybersecurity,Brown University
1856,"Salt Lake City, Utah, United States",Founder at The Edge Development Group LLC,Strategic Advisor at Lincoln Academy- UT,Brown University,Sociology,Brown University
1857,"Menlo Park, California, United States","Vice President, Business Development & Strategy at LeoLabs, Inc.","Business Development, Strategy at DeClerck, LLC",Stanford Graduate School of Business,Finance and Entrepreneurship,Brown University
1858,"Philadelphia, Pennsylvania, United States","Vice President, Software Engineering at FanDuel","Sr. Director, Software Engineering at FanDuel",University of Pennsylvania,Computers and Information Technology,Brown University
1859,"San Francisco, California, United States",Stealth at Stealth,Head of Product at Chefling Inc,Brown University,Innovation Management and Entrepreneurship,Brown University
1860,"New York, New York, United States","Vice President, Single Cell Immunology at Immunai","Senior Director, Single Cell Immunology at Immunai",University of Pennsylvania School of Medicine,Immunology,Brown University
1861,"London Area, United Kingdom",Head Of Marketing at Aposto!,Marketing Director - Arts & Culture Publications at Aposto!,Imperial College Business School,Business Entrepreneurship Organizations,Brown University
1862,Greater Boston,Chief Medical Officer at agilon health,Chief Medical Officer at Mount Sinai Health System,Mount Sinai School of Medicine of New York University,Medicine,Brown University
1863,"Providence, Rhode Island, United States","Director of Business Development, Brown Technology Innovations at Brown University","Associate Director of Business Development & Licensing, Technology Ventures Office at Brown University",Gies College of Business - University of Illinois Urbana-Champaign,Global Strategy & Business Analytics,Brown University
1864,New York City Metropolitan Area,Managing Partner at Helios Innovation Group LLC,Chief Marketing Officer | Customer Analytics | Director - Office of the Customer Advocate at M&T Bank,Brown University,Comparative Literature,Brown University
1865,Kenya,Owner at Catalyst Principal Partners,Director at Actis,1991–1993,Finance,Brown University
1866,"Minneapolis, Minnesota, United States","General Manager, Lucem Data Platform at Lucem Health","EVP, Cloud Solutions at Lyniate",1996–1998,"Healthcare Administration, Business Administration",Brown University
1867,United States,"Chief Medical Officer, Market Development and Solution Design at Lumeris",Stephen M. Kellen Term Member at Council on Foreign Relations,Stanford University Graduate School of Business,Business Administration and General Management,Brown University
1868,"Fall River, Massachusetts, United States",Cardiologist at Prima-CARE Medical Center,Cardiology Fellow at MedStar Washington Hospital Center,Georgetown University School of Medicine,Cardiology,Brown University
1869,"New York, New York, United States",Head of UX Research at Skillshare,Product Insights Manager at Spotify,Brown University,Cognitive Science,Brown University
1870,"New York, New York, United States",Growth & Operations at Saturn,Equity Specialist & ESG Advocate at Bloomberg LP,Brown University,American History (United States),Brown University
1871,Greater Pittsburgh Region,"Vice President, Commercial and Corporate Indirect Procurement at Stryker","Vice President, Global Sourcing - Indirect at Thermo Fisher Scientific",Brown University,Business Economics,Brown University
1872,Greater Pittsburgh Region,"Vice President, Commercial and Corporate Indirect Procurement at Stryker","Vice President, Global Sourcing - Indirect at Thermo Fisher Scientific",Brown University,,Brown University
1873,"Weston, Connecticut, United States",Senior Vice President and General Manager - Industrial Manufacturing Industries at Infor,"Vice President Of Commercial Sales, North America at IBM",Harvard Graduate School of Business Administration,General Management,Brown University
1874,"New York, New York, United States",Senior Vice President at ICONIQ Capital,"Partner, Director of Portfolio & Wealth Advisory at BBR Partners",2006–2008,"Finance, Marketing & Entrepreneurship",Brown University
1875,"New York, New York, United States",Private Equity Associate at Turnspire Capital Partners,"Analyst at M-III Partners, LP",Brown University,Applied Mathematics,Brown University
1876,"New York, New York, United States",Senior Vice President Human Resources at Discovery Inc,Human Resources at NBC Universal,+ 1 more,,Brown University
1877,"Chevy Chase, Maryland, United States",Corporate Strategy Director at AARP,"Vice President, Partnership Development & Ideation at Discovery Communications",Stanford University Graduate School of Business,Political Science,Brown University
1878,Los Angeles Metropolitan Area,Marketing - Customer Lifecycle Management (CLM) at AT&T,Chief of Staff (CoS) at AT&T,Dartmouth College,AB Sociology + AB Spanish Lit.,Brown University
1879,Greater Chicago Area,Head Of Corporate & Business Development at Relativity,Vice President at Pritzker Group,Brown University,"Concentrator in Business, Entrepreneurship and Organizations",Brown University
1880,"London, England, United Kingdom",Vice President at Hult International Business School,Acting Vice President  at EF Education First - HULT International Business School,Sciences Po Paris,International Relations,Brown University
1881,Greater Boston,Director of Strategy & Analytics at Gupta Media,"Sr. Manager, Strategy & Analytics at Gupta Media",Brown University,"Commerce, Organizations, and Entrepreneurship",Brown University
1882,Raleigh-Durham-Chapel Hill Area,,Associate Director Clinical Development at AGTC,Brown University,Biology,Brown University
1883,"Safety Harbor, Florida, United States",Principal at Greg Deocampo Creative Computing,Chief Technology Officer at Mediatronica,Brown University,Applied Mathematics - Molecular Biology,Brown University
1884,"New York, New York, United States","Managing Director, Consumer Insights and Sales Effectiveness,  North America at GfK","Managing Director, Market Opportunities & Innovation at GfK",1986–1990,Political Science,Brown University
1885,"New York, New York, United States",Chief of Staff to the CEO at Yahoo,Chief of Staff to the CEO at Verizon Media,The Wharton School,Management,Brown University
1886,"Concord, Massachusetts, United States",President at Wallis Energy Corporation,"Vice President, Strategic Development at Ameresco",Harvard Business School,Applied Mathematics,Brown University
1887,Washington DC-Baltimore Area,Chief Strategy Officer at Monex USA,Chief Compliance & Strategy Officer at Monex USA,Harvard Business School,General Management,Brown University
1888,"Fulton, Maryland, United States","CEO, Executive Editor at The CyberWire",CEO / Creative Director at Pratt Street Media,Rhode Island School of Design (RISD),Graphic Design,Brown University
1889,"Dallas, Texas, United States",Chief Executive Officer at Catalyvation,Chief Executive Officer at Lake Point Advisory Group,Oklahoma State University,Finance - Behavioral Finance,Brown University
1890,"Boston, Massachusetts, United States","VP, Connected Products at Avery Dennison","Senior Director, Digital ID + Ventures at Avery Dennison",2005–2009,Political Science,Brown University
1891,"Boston, Massachusetts, United States","VP, Connected Products at Avery Dennison","Senior Director, Digital ID + Ventures at Avery Dennison",2005–2009,,Brown University
1892,"Brooklyn, New York, United States","Director, Data Science External Innovation at The Janssen Pharmaceutical Companies of Johnson & Johnson",CEO and Co-Founder at Perry Health,The Warren Alpert Medical School of Brown University,Economics,Brown University
1893,"Brooklyn, New York, United States","Director, Data Science External Innovation at The Janssen Pharmaceutical Companies of Johnson & Johnson",CEO and Co-Founder at Perry Health,The Warren Alpert Medical School of Brown University,,Brown University
1894,"Castle Rock, Colorado, United States",Managing Director/CRO at Blue River Financial Group,"VP of Sales, Strategy, & Client Experience at Access | Information Management",Brown University,"Business Administration, Management and Operations",Brown University
1895,United States,Founder at The Coding School,Visiting Scholar at EHERO - Erasmus Happiness Economics Research Organisation,Tsinghua University,Economics and Business,Brown University
1896,United States,Founder at The Coding School,Visiting Scholar at EHERO - Erasmus Happiness Economics Research Organisation,Tsinghua University,,Brown University
1897,"Philadelphia, Pennsylvania, United States",Harvard Business Review Advisory Council Member at Harvard Business Review,Director Global Procurement Strategy at Philips,Brown University,"Master of Science, Healthcare Management",Brown University
1898,Raleigh-Durham-Chapel Hill Area,"Director, Data Science at Capital One",Data Science Leader at Enact Mortgage Insurance,Brown University,Demography and Population,Brown University
1899,"New York, New York, United States",Director Of Business Operations at Bevi,Summer Associate at Spoiler Alert,Harvard Business School,"Economics and Environmental Studies, Magna Cum Laude",Brown University
1900,"New York, New York, United States",Director Of Business Operations at Bevi,Summer Associate at Spoiler Alert,Harvard Business School,,Brown University
1901,"Pittsburgh, Pennsylvania, United States",Founder & Private Wealth Manager @ The Irick Group at Merrill Lynch,"Executive Director, Private Wealth, JPMorgan Private Bank at J.P. Morgan",Columbia University in the City of New York,Finance,Brown University
1902,"New York, New York, United States","Director, Investment Banking & Private Equity Executive Search, US Lead Diversity/DEI at Sheffield Haworth","Partner, Executive Recruiter | Executive Coach at The Real Advice Plus, LLC",Stanford University Graduate School of Business,Business,Brown University
1903,Atlanta Metropolitan Area,"Interim Chief Operating Officer at Serta Simmons Bedding, LLC","Chief Human Resources Officer at Serta Simmons Bedding, LLC",Education (same page),,Brown University
1904,"Hoboken, New Jersey, United States",Founder at Blueprint Recruiting LLC,Senior Managing Director - Financial Services at The Execu|Search Group,Brown University,,Brown University
1905,500+ connections,Owner at Hanson Robotics,"Co-Founder, former boardmember at SingularityNET",2002–2007,Interactive Arts and Engineering,Brown University
1906,"Providence, Rhode Island, United States",Co-Founder at Brown Angel Group,President & Chief Medical Officer at Virgin Pulse,Brown Medical School,Medicine,Brown University
1907,"Miami, Florida, United States",Dermatologist at Anna Chacon MD PA,Dermatologist at Cleveland Clinic,Brown University,Economics,Brown University
1908,"Westchester County, New York, United States",Vistage CEO Peer Advisory Board Chair at Vistage International,Registered Representative at Silver Leaf Partners,Brown University,Human Biology,Brown University
1909,"San Francisco, California, United States","Director, Analytics at MasterClass","Vice President, Data and Analytics & Head of CODE at AArete",Johns Hopkins Bloomberg School of Public Health,Health Policy and Management,Brown University
1910,Greater Boston,Medical Director at Acceleron Pharma,Medical Director at Sarepta Therapeutics,1990–1998,Pharmacology,Brown University
1911,"New York, New York, United States","Head of US CIB Leveraged Finance - Credit Risk Management at Santander Bank, N.A.",US Head of Credit Risk Management for Collateralized Loan Obligations at Deutsche Bank,Cornell University - S.C. Johnson Graduate School of Management,"Finance, General",Brown University
1912,"Annapolis, Maryland, United States",Co-Founder at The Stellate Institute,Sports Medicine Physician at United States Army Special Operations Command,Brown University,Healthcare Improvement,Brown University
1913,Greater Chicago Area,Partner at Treacy & Company,Principal at Treacy & Company,"London School of Economics and Political Science, U. of London",Faculty of Economics,Brown University
1914,"Atlanta, Georgia, United States",Senior Data Scientist at Antenna,Data Scientist  at The Home Depot,Brown University,Business Entrepreneurship and Organizations,Brown University
1915,"San Francisco, California, United States",Co-Founder and Partner at Boston Meridian Partners,Head of Corporate Strategy at Akamai Technologies,Brown University,International Relations - Latin American Commerce,Brown University
1916,Greater Boston,Senior Vice President and Chief Compliance Officer at Boston Children's Hospital,Compliance and Privacy Officer at Harvard Vanguard Medical Associates and Atrius Health,1996–1999,Health Law,Brown University
1917,"Boston, Massachusetts, United States",,"Director, Strategic Partnerships at EVBox",2005–2007,Sustainable Enterprise,Brown University
1918,New York City Metropolitan Area,Social Media Specialist at FoodBytes! by Rabobank,Mentor at Food-X,Brown University,Double Major in History and French,Brown University
1919,San Francisco Bay Area,Senior Partner Solutions Engineer at LinkedIn,Senior Software Engineering Consultant at National Bank of Canada Financial Markets,Brown University,,Brown University
1920,New York City Metropolitan Area,"Global Head of Programs, Community Partnerships at Meta","Global Programs, Community Partnerships at Meta",Brown University,Political Science and American Civilization,Brown University
1921,500+ connections,Founder & CEO at ADAPT,Chief Creative Officer at CarVi,Brown University,Computer Science & Business Economics,Brown University
1922,"Lund, Skåne County, Sweden",Marketing Consultant at WirelessCar,Senior Marketing & Business Manager - consultant at Sony Network Communications Europe,+ 4 more,"Double major International Relations and Development Studies, Providence, RI, USA",Brown University
1923,"Berkeley, California, United States",Chief Development Officer (CDO) at Reforge,VP Programs and Partners at Reforge,1997–2001,Math/Computer Science,Brown University
1924,New York City Metropolitan Area,President and Principal Executive Officer at ROX Financial LP,"Managing Director, Head EMEA DRs at BNY Mellon",Brown University,"Political Science, Org. Behavior & Mgmt.",Brown University
1925,"New York, New York, United States",Director of Finance and Operations at Every Mother Counts,Data Analytics & Special Projects Lead at Every Mother Counts,Columbia Business School,Political Science and Economics,Brown University
1926,"Tucker, Georgia, United States","Assistant Professor of French (with tenure) at Georgia State University, Clarkston Campus","Associate Dean, International and Global Initiatives at Georgia State University Perimeter College",1989–1991,French Studies,Brown University
1927,"Rockville, Maryland, United States","Deputy Director, Center for Food Safety and Applied Nutrition at FDA","Director, Office of Enforcement and Import Operations at FDA",Cornell Law School,Public Law,Brown University
1928,"Austin, Texas, United States",Principal at GI Partners,Vice President at GI Partners,Brown University,A.B. in Economics,Brown University
1929,"Los Angeles, California, United States",,Technology at Causeway Capital Management,Education (same page),Organizational Studies,Brown University
1930,"New York, New York, United States",Co-founder - Board Member at Fraud.net,Managing Director - Board Member at Oasis Capital Partners,Brown University,Economics,Brown University
1931,Greater Seattle Area,"Executive Vice President, Social Impact & Sustainability at Weber Shandwick","Global Corporate Communications Lead, Sustainability & Social Responsibility at Amazon",Brown University,History,Brown University
1932,"New York, New York, United States",Chief Of Staff at Blockgraph,"Global Manager, DTC / Omnichannel Fund - Strategy & Finance at ZX Ventures",Brown University,Economics,Brown University
1933,"Denver, Colorado, United States","Business Development Lead, BITRIA at Gemini",Head Of Sales at BITRIA,Brown University,"Business, Entrepreneurship, and Organizations (Organizational Studies Track)",Brown University
1934,"Seattle, Washington, United States",Entrepreneur In Residence at WeTransfer.com at WeTransfer,Founder & CEO at QUIVR.AI,Brown University,History,Brown University
1935,"Bangkok, Bangkok City, Thailand",Chief Executive Officer - WWF Thailand at WWF,Associate Director at The Rockefeller Foundation,Brown University,Economics; International Relations,Brown University
1936,"San Francisco, California, United States",VP of Engineering at Galileo Financial Technologies (a SoFi company),Senior Engineering Manager at Apple,Brown University,,Brown University
1937,"Brooklyn, New York, United States",Chief Executive Officer at FJC: A Foundation of Philanthropic Funds,Executive Director at Local Initiatives Support Corporation (LISC),Harvard John F. Kennedy School of Government,Public Policy and Urban Planning,Brown University
1938,"New York, New York, United States",Co-Founder at Half Past,Freelance Brand Strategy and Development at Avery Houser,Brown University,English Language and Literature/Letters,Brown University
1939,"San Francisco, California, United States",Chief Marketing Officer at Planet Partnership,"Senior Director, CLIF Brand Portfolio at Clif Bar & Company",Duke University - The Fuqua School of Business,Marketing & Strategy,Brown University
1940,"New York, New York, United States",Chief Innovation Officer at Agio,Head of Product at Agio,Brown University,Public Policy,Brown University
1941,United States,Digital Experience Manager at CAVA,Associate Director Project Management at Allen & Gerritsen,Brown University,Geology-Biology,Brown University
1942,"New York, New York, United States","Co-founder, CTO at Landsdowne Labs","Co-founder, CSO at Bullseye Therapeutics",Harvard-MIT,"Harvard-MIT Health Sciences and Technology, Brigham and Women's Hospital, Harvard Medical School",Brown University
1943,United States,CEO and President at NEHI (Network for Excellence in Health Innovation),Sr VP Network Development and Strategic Partnerships at Boston Children's Hospital,Yale Law School,Law,Brown University
1944,"Napa, California, United States","President at Tenrec, Inc.",Technology Coordinator at The Hamlin School,1986–1990,Literature and Society,Brown University
1945,"Alexandria, Virginia, United States",President and COO at 5AM Solutions,Senior Vice President of Operations and Finance at 5AM Solutions,+ 2 more,Business Economics,Brown University
1946,"Tokyo, Tokyo, Japan",Co-Founder and CEO at EventHub,"Global Marketing and Sales at ALE Co.,Ltd.",Brown University,International Relations & Economics,Brown University
1947,"Decatur, Georgia, United States",Deputy Chief Information Officer at Centers for Disease Control and Prevention,"Director, Office of Informatics and Information Resources Management at Centers for Disease Control and Prevention","Harvard University, John F. Kennedy School of Government",Cultural/Medical Anthropology,Brown University
1948,United Kingdom,Chief Operating Officer and Recruiting Lead at Covey,MSc Human Resources and Organisations at The London School of Economics and Political Science (LSE),The London School of Economics and Political Science (LSE),,Brown University
1949,"Vancouver, British Columbia, Canada",Chief Operating Officer at Stack Influence,Associate at Faktory Ventures,Brown University,International Development and Sociology,Brown University
1950,"New York, New York, United States","CEO at Bit Digital, Inc.",US Head of Capital Markets at E&P Financial Group,Brown University,Semiotics and Visual Arts (honors),Brown University
1951,"Bengaluru, Karnataka, India",Co-Founder at Studio Elah,Senior Interior Designer at Puravankara Projects Limited,"Mount Carmel College, India",Interior Design Management,Brown University
1952,"Ponte Vedra Beach, Florida, United States","Senior Manager, Programmatic & Audience Operations at PGA TOUR","Senior Manager, Advertising Activation & Solutions, Marketing at PGA TOUR",University of North Florida,"Management, Economics",Brown University
1953,"Ponte Vedra Beach, Florida, United States","Senior Manager, Programmatic & Audience Operations at PGA TOUR","Senior Manager, Advertising Activation & Solutions, Marketing at PGA TOUR",University of North Florida,,Brown University
1954,San Francisco Bay Area,Chief Marketing Officer at DeepFactor,Chief Marketing Officer at Taking Time Off While Exploring New Opportunities,Brown University,Political Science,Brown University
1955,San Francisco Bay Area,Board Member at Social Capital Suvretta Holdings Corp I,Chief Financial Officer at Nightstar Therapeutics (acquired by Biogen),Brown University,Computer Engineering,Brown University
1956,"New York, New York, United States",CEO / Founder at Stacklist,General Manager at Mobile Commons,The University of Chicago - Booth School of Business,,Brown University
1957,"New York, New York, United States",Managing Director at Marsh,"Technology, Media, and Business Services at Beazley",Columbia University - Columbia Business School,Business/Managerial Economics; Classical History,Brown University
1958,"Cambridge, Massachusetts, United States",Chief Operating Officer at Camber Development,"Senior Marketing Manager, Enterprise Marketing Insights and Operations at Microsoft",Dartmouth College - The Tuck School of Business at Dartmouth,Political Science; Public & Private Sector Organizations,Brown University
1959,New York City Metropolitan Area,"VP, Head of Marketing at 818 Spirits","Senior Director, Wine & Spirits Marketing at Anheuser-Busch InBev",Brown University,Gender Studies,Brown University
1960,"Brooklyn, New York, United States",Head of Analytics and Data Products at Simon Data,"Senior Manager, Data and Analytics at Simon Data",Yale University - Yale School of Management,Economics,Brown University
1961,Greater Philadelphia,Chief Executive Officer at Compass Working Capital,Chief Strategy Officer (CSO) at Compass Working Capital,2000–2003,Law,Brown University
1962,Greater Philadelphia,Chief Executive Officer at Compass Working Capital,Chief Strategy Officer (CSO) at Compass Working Capital,2000–2003,,Brown University
1963,New York City Metropolitan Area,"Managing Director - Technology, Media & Telecommunications Investment Banking at Wedbush Securities","Managing Director, co-Head of Technology Investment Banking at BDA Partners",Brown University,,Brown University
1964,"Washington, District of Columbia, United States",Chief Financial Officer at CB Insights,CFO at Brightfield,2003–2005,Finance and Accounting,Brown University
1965,New York City Metropolitan Area,Chief Marketing Officer at AIG,"Senior Vice President, Marketing at Nat West Bank",1978–1981,Sociology (Demography),Brown University
1966,"New York, New York, United States",Chief Marketing Officer at Rebag,Chief Marketing Officer at Appear Here,Harvard Business School,"Psychology, French Studies",Brown University
1967,"San Francisco, California, United States",Co-Founder at Sqool,Data Product Manager at Sonder Inc.,Massachusetts Institute of Technology,Urban Studies and Architectural Studies,Brown University
1968,"Pittsburgh, Pennsylvania, United States","Assistant Professor, Entrepreneurship & Innovation at Carnegie Mellon University - Tepper School of Business",Adjunct Professor of Entrepreneurship at Carnegie Mellon University - Tepper School of Business,University of Chicago,Urban Geography & History,Brown University
1969,"Sunnyvale, California, United States",CTO & Founder at Hireguide,Program Committee - USENIX SRECon at USENIX Association,Brown University,Computer Science,Brown University
1970,"Los Angeles, California, United States","CEO, Co-Founder at Purgula.com",Executive Financial Professional/CIO/External Consultant at Promontory Financial Group/Private Equity Group,Brown University,Neural Science,Brown University
1971,"Atlanta, Georgia, United States","Director of Innovation & Agile: Nutrition, Juices, Dairy, & Plant at The Coca-Cola Company","Director, Coca-Cola Freestyle Marketing at The Coca-Cola Company",Brown University,Psychology,Brown University
1972,Denver Metropolitan Area,Chief Development Officer at Habitat for Humanity of Metro Denver,Director of Development & Communications at PEBC- Public Education & Business Coalition,Georgetown University - The McDonough School of Business,Economics & International Relatioins,Brown University
1973,"Redlands, California, United States","Director, Global Partners & Alliances at Esri","Managing Director, Commercial Products & Solutions at Harris Corporation",+ 2 more,Geomathematics,Brown University
1974,Greater Chicago Area,Director of Operations Excellence  at Nurture Life,Operations Excellence Senior Manager at Nurture Life,Brown University,Economics,Brown University
1975,"San Francisco, California, United States","Director, Strategic Initiatives - Salesforce.org at Salesforce","Director, Strategic Initiatives at Kiva.org",Brown University,International Relations (Political Economy & Development),Brown University
1976,"London, England, United Kingdom",Founder & Vice President at Efficio consulting,Manager at A.T. Kearney,INSEAD,Engineering and Economics,Brown University
1977,"Minneapolis, Minnesota, United States",Vice President of Marketing & Demand Generation at rahr corporation,Senior Director Global Marketing at IDeaS Revenue Solutions,1997–2001,Community Health/Health Marketing,Brown University
1978,Greater Valencia Metropolitan Area,Presidente at Atitlan Grupo,Vicepresidente ejecutivo at Goldman Sachs,Brown University,Economía,Brown University
1979,Greater Chicago Area,"Director, Data Science and Analytics (Hiring!) at Sprout Social, Inc.",Data Science Lead and Manager at Uptake,University of Wisconsin-Madison,Cognitive Psychology,Brown University
1980,"Albuquerque, New Mexico, United States",Founder and Executive Director at VESSEL HEALTH LLC,Medical Director at Heart Hospital of New Mexico,Williams College,Interventional Cardiology Residency Program,Brown University
1981,Hong Kong SAR,Chief Strategy Officer at Link REIT,Head of Investor Relations & Corporate Finance at Link REIT,Harvard Business School,General Management,Brown University
1982,"Providence County, Rhode Island, United States",Middle School Principal at TEC Connections Academy Commonwealth Virtual School,Principal at Central Falls School District,Brown University,Teaching Social Studies/History (7-12),Brown University
1983,"New York, New York, United States",Chief Financial Officer at 1health,Co-Founder & CFO at Pillo Health (Acquired by Stanley Black+Decker)) at Pillo Health,Columbia University - Columbia Business School,Business Economics,Brown University
1984,"Miami, Florida, United States",Co-Owner at VITRUVIA,Venture Fellow at Maveron LLC,Harvard Business School,Economics; Magna Cum Laude,Brown University
1985,"Miami, Florida, United States","Founder and Chief Executive Officer at Scrivas, LLC",,University of Florida College of Medicine,Medical Science,Brown University
1986,New York City Metropolitan Area,"Managing Director, Business Development at Kline Hill Partners LP","Independent Consultant at PPK Consulting, LLC",2005–2007,"International Business, International Relations",Brown University
1987,Japan,"Head Of Sales, Cisco Capital Japan at Cisco","Director - Global Partnerships, Strategic Customers & Solutions at Thomson Reuters",Brown University,"Business Economics, Chinese",Brown University
1988,"Wynnewood, Pennsylvania, United States","Principal at Alchemi, Inc","AVP, Business Architect at AXIS Capital",2002–2004,Organizational Behavior & Management,Brown University
1989,"Washington, District of Columbia, United States",Chief Scientist / Co-Founder at Samara Data,Chief Scientist / Managing Principal at k. young consulting LLP,Brown University,Geophysics,Brown University
1990,"Oakland, California, United States",Software Engineer at Cookies,Founder at FunkyFundz,2006–2010,Economics,Brown University
1991,New York City Metropolitan Area,CEO at Affiliated Monitoring,"Associate - Mergers & Acquisitions at Skadden, Arps, Slate, Meagher & Flom LLP and Affiliates",Columbia Law School,Law,Brown University
1992,Los Angeles Metropolitan Area,"Director / Head Of Marketing, International at Kent Corporation","Senior Director, Consumer & Trade Marketing (ASEAN) at SC Johnson",Northwestern University - Kellogg School of Management,Marketing,Brown University
1993,"Dover, Massachusetts, United States",Managing Director at Intex,,Brown University,Economics,Brown University
1994,"Buenos Aires, Buenos Aires Province, Argentina",General Manager at Red Bull Argentina,Head of On Premise - Latin America at Red Bull,Brown University,Economía de la empresa,Brown University
1995,"Boston, Massachusetts, United States",Software Engineer(NLP Machine Learning/Data Science) at EBSCO Information Services,Data Scientist at Fairmarkit,Brown University,Biostatistics,Brown University
1996,Greater Boston,"VP, Research Director, Sales Enablement Strategies at Forrester","VP/Principal Analyst, Sales Enablement Strategies at Forrester",Brown University,History and Political Science,Brown University
1997,"Cranston, Rhode Island, United States","SVP, Director of Business Office, Infrastructure Services  at Citizens","SVP, Portfolio Director, Enterprise Services Program Management Office  at Citizens",Babson College - Franklin W. Olin Graduate School of Business,Innovation and Entrepreneurship,Brown University
1998,"New York, New York, United States",Director of Business Intelligence and Analytics at Common,"Senior Manager, Business Intelligence at Meetup",UC Berkeley School of Information,Information and Data Science,Brown University
1999,"Flagstaff, Arizona, United States","Director, People & Culture at Valimail",Senior Director of Human Resources at Kyruus,2006–2010,Egyptology,Brown University
2000,"New York, New York, United States",Brand Builder/Innovation/Sourcing/Sustainability Expert at N-ovative Design Group LLC.,"Manufacturing Strategist/Merchandiser at NANJING USA, INC.",Rhode Island School of Design,Fashion/Apparel Design,Brown University
2001,"Lake Mary, Florida, United States",Director Commercial Renewables Operations at Duke Energy Corporation,Senior Manager - Transmission Line Engineering Florida - Transmission Engineering at Duke Energy Corporation,Brown University,Science and Technology Leadership,Brown University
2002,"Norwalk, Connecticut, United States","Executive Vice President, Head of Integrated Marketing at Octagon",Vice President at New England Revolution (MLS),Harvard Business School,American History and English and American Literature,Brown University
2003,Hong Kong SAR,Senior Director at PSP Investments,Principal at AlpInvest Partners,1999–2003,Applied Math-Economics,Brown University
2004,"New York, New York, United States",,Chief Executive Officer at Mansueto Ventures,Brown University,English (magna cum laude),Brown University
2005,"Philadelphia, Pennsylvania, United States",Senior Project Manager at The Transformation Group,"Director, Business Impact Projects at Apex Learning",Simplilearn Alumni,Business Analysis,Brown University
2006,"New York, New York, United States",Senior Managing Director - Head of U.S. Acquisitions at GTIS Partners,Land Acquisition Manager at K. Hovnanian Homes,2001–2003,Finance,Brown University
2007,San Francisco Bay Area,General Partner at Night Ventures,Vice President at Bessemer Venture Partners,Brown University,Degree mixed engineering with entrepreneurial management and product development.,Brown University
2008,San Francisco Bay Area,General Partner at Night Ventures,Vice President at Bessemer Venture Partners,Brown University,,Brown University
2009,"Tiverton, Rhode Island, United States",Vice President at Grenzebach Glier and Associates,Vice President for Alumni Relations at Brown University,Claremont Graduate University,Education,Brown University
2010,New York City Metropolitan Area,Chief Privacy Officer/SVP at Visa,Advisor at Prifender,New York University School of Law,Biology / Political Philosophy,Brown University
2011,"Atlanta, Georgia, United States",Managing Partner at Atkins David LLC,"Partner at Swift, Currie, McGhee & Hiers",1990–1993,Law,Brown University
2012,"Atlanta, Georgia, United States",Managing Partner at Atkins David LLC,"Partner at Swift, Currie, McGhee & Hiers",1990–1993,,Brown University
2013,New York City Metropolitan Area,"Director, Community and Partner Marketing  at Simon & Schuster","Director, Partner Marketing at Simon & Schuster (a ViacomCBS Company)",+ 2 more,Publishing Course,Brown University
2014,Singapore,"Co-Founder Uplifting Service, Uplifting Customer Service Training, Service Culture Consulting at Ron Kaufman",Director of Customised Service Training at Service Quality Centre,Ontological Design Course,French language,Brown University
2015,"New York, New York, United States",Chief Operating Officer & Chief Financial Officer at Epirium,Chief Executive Officer at Reneo Capital Management LP,Brown University,,Brown University
2016,"San Francisco, California, United States",VP of Marketing at Farther Finance,Entrepreneur In Residence at Brown University,Brown University,Public Policy & American Institutions,Brown University
2017,New York City Metropolitan Area,"SVP, Head of Compliance, Alexion, AstraZeneca Rare Disease at Alexion Pharmaceuticals, Inc.","Deputy Chief Compliance Officer, SVP International Compliance & Global Compliance Operations at Alexion Pharmaceuticals, Inc.",Fordham University School of Law,Law,Brown University
2018,Los Angeles Metropolitan Area,Group Commercial Director - Americas at V.Group,Director at RBC Capital Markets,University of Pennsylvania - The Wharton School,"Finance, General",Brown University
2019,Greater Boston,"Senior Director, Policy, Operations and Chief of Staff, Patient and Market Access at Takeda","Senior Director, Head of Patient Services Marketing, Patient and Market Access at Takeda",University of Michigan,"Marketing, International Business",Brown University
2020,"San Francisco, California, United States","GM, Enterprise at Instawork",Strategic Accounts at Dropbox,Brown University,Biology,Brown University
2021,"Evergreen, Colorado, United States",Business Development Executive at Pure Spectrum,Chief Growth Officer at The Duck Company,The Wharton School,Finance,Brown University
2022,Washington DC-Baltimore Area,"Vice President, Strategy and Communications at Research!America","Senior Director, Public Policy and Government Relations at BD",Harvard University Kennedy School of Government,Sociology,Brown University
